timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.994692,0.996,0.403792,0.00759998,0.318108,0.730767,0.240626,0,0,0,0,0,0,0,28.251,33.1086,33.3333
175,0.994692,0.996,0.404994,0.00761953,0.322996,0.732647,0.235604,0,0,0,0,0,0,0,28.251,33.1086,33.3333
180,0.994691,0.996,0.406107,0.00763908,0.326244,0.734527,0.232262,0,0,0,0,0,0,0,28.251,33.1086,33.3333
185,0.994691,0.996,0.407181,0.00765863,0.328741,0.736407,0.229694,0,0,0,0,0,0,0,28.251,33.1086,33.3333
190,0.994692,0.996,0.408234,0.00767818,0.330854,0.738287,0.227523,0,0,0,0,0,0,0,28.251,33.1086,33.3333
195,0.994691,0.996,0.409274,0.00769774,0.332732,0.740167,0.225595,0,0,0,0,0,0,0,28.251,33.1086,33.3333
200,0.994691,0.996,0.410305,0.00771729,0.334444,0.742047,0.223838,0,0,0,0,0,0,0,28.251,33.1086,33.3333
205,0.994704,0.996,0.41133,0.00773684,0.336052,0.743927,0.222215,0,0,0,0,0,0,0,28.251,33.1086,33.3333
210,0.994692,0.996,0.412349,0.00775639,0.337513,0.745807,0.220698,0,0,0,0,0,0,0,28.251,33.1086,33.3333
215,0.994691,0.996,0.413363,0.00777594,0.338907,0.747687,0.219271,0,0,0,0,0,0,0,28.251,33.1086,33.3333
220,0.994692,0.996,0.414373,0.0077955,0.340232,0.749567,0.217917,0,0,0,0,0,0,0,28.251,33.1086,33.3333
225,0.994691,0.996,0.415381,0.00781505,0.341496,0.751447,0.216624,0,0,0,0,0,0,0,28.251,33.1086,33.3333
230,0.994691,0.996,0.416385,0.0078346,0.342709,0.753327,0.215382,0,0,0,0,0,0,0,28.251,33.1086,33.3333
235,0.994758,0.996,0.417387,0.00785415,0.343996,0.755207,0.214184,0,0,0,0,0,0,0,28.251,33.1086,33.3333
240,0.994691,0.996,0.418388,0.0078737,0.345022,0.757087,0.213021,0,0,0,0,0,0,0,28.251,33.1086,33.3333
245,0.994693,0.996,0.419387,0.00789326,0.346133,0.758967,0.211889,0,0,0,0,0,0,0,28.251,33.1086,33.3333
250,0.994691,0.996,0.420384,0.00791281,0.347213,0.760847,0.210782,0,0,0,0,0,0,0,28.251,33.1086,33.3333
255,0.994692,0.996,0.421381,0.00793236,0.348277,0.762727,0.209697,0,0,0,0,0,0,0,28.251,33.1086,33.3333
260,0.994692,0.996,0.422376,0.00795191,0.349322,0.764607,0.20863,0,0,0,0,0,0,0,28.251,33.1086,33.3333
265,0.994692,0.996,0.423371,0.00797146,0.350351,0.766487,0.207578,0,0,0,0,0,0,0,28.251,33.1086,33.3333
270,0.994703,0.996,0.424365,0.00799102,0.351388,0.768367,0.20654,0,0,0,0,0,0,0,28.251,33.1086,33.3333
275,0.994691,0.996,0.425358,0.00801057,0.352373,0.770247,0.205513,0,0,0,0,0,0,0,28.251,33.1086,33.3333
280,0.994691,0.996,0.426351,0.00803012,0.353369,0.772127,0.204495,0,0,0,0,0,0,0,28.251,33.1086,33.3333
285,0.994693,0.996,0.427344,0.00804967,0.354361,0.774007,0.203487,0,0,0,0,0,0,0,28.251,33.1086,33.3333
290,0.994691,0.996,0.428336,0.00806922,0.355338,0.775887,0.202485,0,0,0,0,0,0,0,28.251,33.1086,33.3333
295,0.994692,0.996,0.429328,0.00808878,0.356313,0.777767,0.20149,0,0,0,0,0,0,0,28.251,33.1086,33.3333
300,0.994691,0.996,0.430319,0.00810833,0.357282,0.779647,0.2005,0,0,0,0,0,0,0,28.251,33.1086,33.3333
305,0.993998,0.996,0.43131,0.00812788,0.357009,0.781527,0.199516,0,0,0,0,0,0,0,28.251,33.1086,33.3333
310,0.8349,0.719512,0.316331,0.00699631,0.279183,0.782315,0.201334,68,1,67,0,68,0,0,28.251,33.1086,33.3333
315,0.9939,0.995935,0.428274,0.00732918,0.340818,0.783904,0.199574,0,0,0,0,0,0,0,28.251,33.0832,33.3333
320,0.993903,0.995935,0.429174,0.00734682,0.339949,0.78579,0.200502,0,0,0,0,0,0,0,28.251,33.0832,33.3333
325,0.993902,0.995935,0.430185,0.00736445,0.341345,0.787676,0.199057,0,0,0,0,0,0,0,28.251,33.0832,33.3333
330,0.9939,0.995935,0.431158,0.00738209,0.341969,0.789562,0.198419,0,0,0,0,0,0,0,28.251,33.0832,33.3333
335,0.993901,0.995935,0.432143,0.00739972,0.34286,0.791449,0.197507,0,0,0,0,0,0,0,28.251,33.0832,33.3333
340,0.993902,0.995935,0.433125,0.00741736,0.343661,0.793335,0.196687,0,0,0,0,0,0,0,28.251,33.0832,33.3333
345,0.993904,0.995935,0.434108,0.00743499,0.344496,0.795221,0.195836,0,0,0,0,0,0,0,28.251,33.0832,33.3333
350,0.993908,0.995935,0.43509,0.00745263,0.345325,0.797107,0.194994,0,0,0,0,0,0,0,28.251,33.0832,33.3333
355,0.993901,0.995935,0.436073,0.00747026,0.346137,0.798993,0.194148,0,0,0,0,0,0,0,28.251,33.0832,33.3333
360,0.993903,0.995935,0.437055,0.0074879,0.346965,0.800879,0.193303,0,0,0,0,0,0,0,28.251,33.0832,33.3333
365,0.993902,0.995935,0.438038,0.00750553,0.347789,0.802766,0.192457,0,0,0,0,0,0,0,28.251,33.0832,33.3333
370,0.993901,0.995935,0.439021,0.00752317,0.348614,0.804652,0.191611,0,0,0,0,0,0,0,28.251,33.0832,33.3333
375,0.99396,0.995935,0.440003,0.0075408,0.349546,0.806538,0.190763,0,0,0,0,0,0,0,28.251,33.0832,33.3333
380,0.993912,0.995935,0.440986,0.00755844,0.35029,0.808424,0.189915,0,0,0,0,0,0,0,28.251,33.0832,33.3333
385,0.993901,0.995935,0.441969,0.00757607,0.351096,0.81031,0.189066,0,0,0,0,0,0,0,28.251,33.0832,33.3333
390,0.993901,0.995935,0.442952,0.00759371,0.351926,0.812197,0.188217,0,0,0,0,0,0,0,28.251,33.0832,33.3333
395,0.993901,0.995935,0.443934,0.00761134,0.352755,0.814083,0.187366,0,0,0,0,0,0,0,28.251,33.0832,33.3333
400,0.993901,0.995935,0.444917,0.00762898,0.353586,0.815969,0.186515,0,0,0,0,0,0,0,28.251,33.0832,33.3333
405,0.993901,0.995935,0.4459,0.00764661,0.354417,0.817855,0.185664,0,0,0,0,0,0,0,28.251,33.0832,33.3333
410,0.993912,0.995935,0.446883,0.00766425,0.355268,0.819741,0.184812,0,0,0,0,0,0,0,28.251,33.0832,33.3333
415,0.993901,0.995935,0.447866,0.00768188,0.35608,0.821627,0.183959,0,0,0,0,0,0,0,28.251,33.0832,33.3333
420,0.993903,0.995935,0.448849,0.00769952,0.356917,0.823514,0.183105,0,0,0,0,0,0,0,28.251,33.0832,33.3333
425,0.993901,0.995935,0.449832,0.00771715,0.357746,0.8254,0.182251,0,0,0,0,0,0,0,28.251,33.0832,33.3333
430,0.993901,0.995935,0.450815,0.00773479,0.358581,0.827286,0.181396,0,0,0,0,0,0,0,28.251,33.0832,33.3333
435,0.993901,0.995935,0.451798,0.00775242,0.359415,0.829172,0.180541,0,0,0,0,0,0,0,28.251,33.0832,33.3333
440,0.993901,0.995935,0.452781,0.00777006,0.36025,0.831058,0.179685,0,0,0,0,0,0,0,28.251,33.0832,33.3333
445,0.993901,0.995935,0.453764,0.00778769,0.361086,0.832945,0.178829,0,0,0,0,0,0,0,28.251,33.0832,33.3333
450,0.993916,0.995935,0.454748,0.00780533,0.361949,0.834831,0.177972,0,0,0,0,0,0,0,28.251,33.0832,33.3333
455,0.993918,0.995935,0.455731,0.00782296,0.362789,0.836717,0.177115,0,0,0,0,0,0,0,28.251,33.0832,33.3333
460,0.830012,0.679012,0.317651,0.00689433,0.286578,0.837661,0.182226,77,0,77,0,0,77,0,28.251,33.0832,33.3333
465,0.992766,0.995885,0.456118,0.00792745,0.350726,0.837552,0.187508,0,0,0,0,0,0,0,28.251,33.0832,33.3333
470,0.992943,0.995885,0.457261,0.00794529,0.355118,0.839437,0.183262,0,0,0,0,0,0,0,28.251,33.0832,33.3333
475,0.992771,0.995885,0.458318,0.00796312,0.357151,0.841321,0.180834,0,0,0,0,0,0,0,28.251,33.0832,33.3333
480,0.99277,0.995885,0.459346,0.00798096,0.35888,0.843206,0.179039,0,0,0,0,0,0,0,28.251,33.0832,33.3333
485,0.992769,0.995885,0.460361,0.0079988,0.360357,0.845091,0.177507,0,0,0,0,0,0,0,28.251,33.0832,33.3333
490,0.992779,0.995885,0.461369,0.00801664,0.361721,0.846976,0.176113,0,0,0,0,0,0,0,28.251,33.0832,33.3333
495,0.992772,0.995885,0.462373,0.00803448,0.362969,0.848861,0.174808,0,0,0,0,0,0,0,28.251,33.0832,33.3333
500,0.992773,0.995885,0.463374,0.00805232,0.364167,0.850745,0.173569,0,0,0,0,0,0,0,28.251,33.0832,33.3333
505,0.99277,0.995885,0.464373,0.00807016,0.365306,0.85263,0.172385,0,0,0,0,0,0,0,28.251,33.0832,33.3333
510,0.992781,0.995885,0.465369,0.008088,0.366428,0.854515,0.171247,0,0,0,0,0,0,0,28.251,33.0832,33.3333
515,0.99277,0.995885,0.466363,0.00810584,0.367472,0.8564,0.170147,0,0,0,0,0,0,0,28.251,33.0832,33.3333
520,0.992771,0.995885,0.467356,0.00812368,0.368506,0.858284,0.16908,0,0,0,0,0,0,0,28.251,33.0832,33.3333
525,0.993034,0.995885,0.468348,0.00814152,0.370015,0.860169,0.168041,0,0,0,0,0,0,0,28.251,33.0832,33.3333
530,0.992863,0.995885,0.469338,0.00815936,0.370686,0.862054,0.167027,0,0,0,0,0,0,0,28.251,33.0832,33.3333
535,0.992772,0.995885,0.470324,0.00817717,0.371426,0.863936,0.166067,0,0,0,0,0,0,0,28.251,33.0832,33.3333
540,0.992771,0.995885,0.471305,0.00819493,0.372291,0.865813,0.165173,0,0,0,0,0,0,0,28.251,33.0832,33.3333
545,0.992769,0.995885,0.472285,0.0082127,0.373138,0.86769,0.164294,0,0,0,0,0,0,0,28.251,33.0832,33.3333
550,0.99277,0.995885,0.473264,0.00823046,0.373978,0.869566,0.163429,0,0,0,0,0,0,0,28.251,33.0832,33.3333
555,0.992769,0.995885,0.474239,0.00824815,0.374804,0.871435,0.162575,0,0,0,0,0,0,0,28.251,33.0832,33.3333
