[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,-0.39099,-0.52,-0.637297
315,0,0.413984,0.480198,0.604394
320,0,-0.00655219,-0.0239339,-0.0258995
325,0,-0.00257966,-0.0239339,-0.0247078
330,0,-0.0109713,-0.0239339,-0.0272253
335,0,-0.00257955,-0.0239339,-0.0247077
340,0,-0.0114038,-0.0239339,-0.027355
345,0,-0.00235636,-0.0239339,-0.0246408
350,0,-0.00780812,-0.0239339,-0.0262763
355,0,-0.00655211,-0.0239339,-0.0258995
360,0,-0.0078081,-0.0239339,-0.0262763
365,0,-0.00655237,-0.0239339,-0.0258996
370,0,-0.00780811,-0.0239339,-0.0262763
375,0,-0.00655223,-0.0239339,-0.0258996
380,0,-0.00780813,-0.0239339,-0.0262763
385,0,-0.00655221,-0.0239339,-0.0258995
390,0,-0.00780811,-0.0239339,-0.0262763
395,0,-0.0065522,-0.0239339,-0.0258995
400,0,-0.00780816,-0.0239339,-0.0262763
405,0,-0.0065522,-0.0239339,-0.0258995
410,0,-0.00780807,-0.0239339,-0.0262763
415,0,-0.0065522,-0.0239339,-0.0258995
420,0,-0.00780816,-0.0239339,-0.0262763
425,0,-0.00655222,-0.0239339,-0.0258995
430,0,-0.00780812,-0.0239339,-0.0262763
435,0,-0.00655219,-0.0239339,-0.0258995
440,0,-0.00780815,-0.0239339,-0.0262763
445,0,-0.00655222,-0.0239339,-0.0258995
450,0,-0.00780813,-0.0239339,-0.0262763
455,0,-0.00655861,-0.0239339,-0.0259015
460,0,-0.00780897,-0.0239339,-0.0262766
465,0,-0.00655221,-0.0239339,-0.0258995
470,0,-0.00780815,-0.0239339,-0.0262763
475,0,-0.00655218,-0.0239339,-0.0258995
480,0,-0.00780813,-0.0239339,-0.0262763
485,0,-0.00655218,-0.0239339,-0.0258995
490,0,-0.00780812,-0.0239339,-0.0262763
495,0,-0.00655224,-0.0239339,-0.0258996
500,0,-0.00780809,-0.0239339,-0.0262763
505,0,-0.00655221,-0.0239339,-0.0258995
510,0,-0.00780814,-0.0239339,-0.0262763
515,0,-0.00655226,-0.0239339,-0.0258996
520,0,-0.00780814,-0.0239339,-0.0262763
525,0,-0.00655224,-0.0239339,-0.0258996
530,0,-0.00780905,-0.0239339,-0.0262766
535,0,-0.00655231,-0.0239339,-0.0258996
540,0,-0.00780815,-0.0239339,-0.0262763
545,0,-0.0065522,-0.0239339,-0.0258995
550,0,-0.0078081,-0.0239339,-0.0262763
555,0,-0.00655218,-0.0239339,-0.0258995
560,0,-0.00780811,-0.0239339,-0.0262763
565,0,-0.00655226,-0.0239339,-0.0258996
570,0,-0.00780826,-0.0239339,-0.0262764
575,0,-0.0065523,-0.0239339,-0.0258996
580,0,-0.00780814,-0.0239339,-0.0262763
585,0,-0.00655219,-0.0239339,-0.0258995
590,0,-0.00780813,-0.0239339,-0.0262763
595,0,-0.00655228,-0.0239339,-0.0258996
600,0,-0.00780815,-0.0239339,-0.0262763
605,0,-0.00655217,-0.0239339,-0.0258995
610,0,-0.568294,-0.550248,-0.720736
615,0,0.624771,0.506814,0.694245
620,0,-0.00939661,-0.031322,-0.034141
625,0,-0.00939661,-0.031322,-0.034141
630,0,-0.00939661,-0.031322,-0.034141
635,0,-0.00939661,-0.031322,-0.034141
640,0,-0.00939661,-0.031322,-0.034141
645,0,-0.00939661,-0.031322,-0.034141
650,0,-0.00939661,-0.031322,-0.034141
655,0,-0.00939661,-0.031322,-0.034141
660,0,-0.00939661,-0.031322,-0.034141
665,0,-0.00939661,-0.031322,-0.034141
670,0,-0.00939661,-0.031322,-0.034141
675,0,-0.00939661,-0.031322,-0.034141
680,0,-0.00939661,-0.031322,-0.034141
685,0,-0.00939661,-0.031322,-0.034141
690,0,-0.00939661,-0.031322,-0.034141
695,0,-0.00939661,-0.031322,-0.034141
700,0,-0.00939661,-0.031322,-0.034141
705,0,-0.00939661,-0.031322,-0.034141
710,0,-0.00939661,-0.031322,-0.034141
715,0,-0.00939661,-0.031322,-0.034141
720,0,-0.00939661,-0.031322,-0.034141
725,0,-0.00939661,-0.031322,-0.034141
730,0,-0.00939661,-0.031322,-0.034141
735,0,-0.00939661,-0.031322,-0.034141
740,0,-0.00939661,-0.031322,-0.034141
745,0,-0.00939661,-0.031322,-0.034141
750,0,-0.00939661,-0.031322,-0.034141
755,0,-0.00939661,-0.031322,-0.034141
760,0,-0.00939661,-0.031322,-0.034141
765,0,-0.00939661,-0.031322,-0.034141
770,0,-0.00939661,-0.031322,-0.034141
775,0,-0.00939661,-0.031322,-0.034141
780,0,-0.00939661,-0.031322,-0.034141
785,0,-0.00939661,-0.031322,-0.034141
790,0,-0.00939661,-0.031322,-0.034141
795,0,-0.00939661,-0.031322,-0.034141
800,0,-0.00939661,-0.031322,-0.034141
805,0,-0.00939661,-0.031322,-0.034141
810,0,-0.00939661,-0.031322,-0.034141
815,0,-0.00939661,-0.031322,-0.034141
820,0,-0.00939661,-0.031322,-0.034141
825,0,-0.00939661,-0.031322,-0.034141
830,0,-0.00939661,-0.031322,-0.034141
835,0,-0.00939661,-0.031322,-0.034141
840,0,-0.00939661,-0.031322,-0.034141
845,0,-0.00939661,-0.031322,-0.034141
850,0,-0.00939661,-0.031322,-0.034141
