timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.990353,0.98,0.379944,0.00616507,0.279728,0.711354,0.278128,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
175,0.990353,0.98,0.38114,0.00618119,0.28577,0.713214,0.271983,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
180,0.990353,0.98,0.382222,0.00619731,0.289218,0.715074,0.26847,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
185,0.990353,0.98,0.383253,0.00621343,0.291493,0.716934,0.266149,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
190,0.990354,0.98,0.384259,0.00622955,0.293212,0.718794,0.264396,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
195,0.990353,0.98,0.385252,0.00624567,0.294633,0.720654,0.262945,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
200,0.990353,0.98,0.386237,0.00626179,0.295881,0.722514,0.261672,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
205,0.990364,0.98,0.387217,0.00627791,0.297031,0.724374,0.260516,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
210,0.990354,0.98,0.388194,0.00629403,0.298072,0.726234,0.259439,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
215,0.990353,0.98,0.389168,0.00631015,0.29907,0.728094,0.258419,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
220,0.990352,0.98,0.39014,0.00632627,0.300029,0.729954,0.257442,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
225,0.990352,0.98,0.391111,0.00634239,0.300958,0.731814,0.256495,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
230,0.990353,0.98,0.392081,0.00635851,0.301864,0.733674,0.255572,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
235,0.990353,0.98,0.39305,0.00637463,0.302753,0.735534,0.254667,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
240,0.990353,0.98,0.394019,0.00639075,0.303628,0.737394,0.253776,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
245,0.990354,0.98,0.394987,0.00640687,0.304494,0.739254,0.252895,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
250,0.990353,0.98,0.395955,0.00642299,0.30535,0.741114,0.252022,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
255,0.990353,0.98,0.396923,0.00643911,0.306201,0.742974,0.251155,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
260,0.990353,0.98,0.39789,0.00645523,0.307047,0.744834,0.250293,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
265,0.990353,0.98,0.398857,0.00647135,0.30789,0.746694,0.249434,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
270,0.990365,0.98,0.399824,0.00648747,0.308749,0.748554,0.248579,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
275,0.990353,0.98,0.400791,0.00650359,0.309568,0.750414,0.247725,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
280,0.990353,0.98,0.401758,0.00651971,0.310405,0.752274,0.246873,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
285,0.990354,0.98,0.402725,0.00653583,0.311241,0.754134,0.246023,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
290,0.990353,0.98,0.403692,0.00655195,0.312074,0.755994,0.245173,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
295,0.990354,0.98,0.404659,0.00656807,0.312908,0.757854,0.244324,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
300,0.990353,0.98,0.405625,0.00658419,0.313739,0.759714,0.243476,0,0,0,0,0,0,0,17.6339,31.1727,33.3328
