timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.995193,1,0.38466,0.00565978,0.548926,0.707473,0.226922,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
175,0.995192,1,0.385254,0.00567546,0.539598,0.709433,0.236572,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
180,0.995192,1,0.386012,0.00569114,0.534241,0.711393,0.242112,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
185,0.995192,1,0.386871,0.00570682,0.531313,0.713353,0.245138,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
190,0.995192,1,0.387792,0.0057225,0.529895,0.715313,0.246604,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
195,0.995192,1,0.388753,0.00573818,0.52943,0.717273,0.247082,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
200,0.995192,1,0.38974,0.00575386,0.529587,0.719233,0.246921,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
205,0.995203,1,0.390743,0.00576954,0.530186,0.721193,0.246335,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
210,0.995192,1,0.391758,0.00578522,0.531004,0.723153,0.245461,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
215,0.995191,1,0.392781,0.0058009,0.532044,0.725113,0.244387,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
220,0.995192,1,0.39381,0.00581658,0.533228,0.727073,0.24317,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
225,0.995192,1,0.394842,0.00583226,0.534511,0.729033,0.241851,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
230,0.995191,1,0.395878,0.00584794,0.535864,0.730993,0.240457,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
235,0.995213,1,0.396916,0.00586362,0.53733,0.732953,0.239008,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
240,0.995193,1,0.397956,0.0058793,0.53873,0.734913,0.237517,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
245,0.995193,1,0.398997,0.00589498,0.540212,0.736873,0.235996,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
250,0.995192,1,0.400038,0.00591066,0.541713,0.738833,0.234452,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
255,0.995191,1,0.401081,0.00592634,0.543232,0.740793,0.232891,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
260,0.995192,1,0.402124,0.00594202,0.544767,0.742753,0.231317,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
265,0.995192,1,0.403167,0.0059577,0.546311,0.744713,0.229734,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
270,0.995204,1,0.404211,0.00597338,0.547895,0.746673,0.228144,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
275,0.995191,1,0.405255,0.00598906,0.549413,0.748633,0.22655,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
280,0.995192,1,0.406298,0.00600474,0.550972,0.750593,0.224953,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
285,0.995192,1,0.407342,0.00602042,0.552532,0.752553,0.223355,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
290,0.995192,1,0.408386,0.0060361,0.554089,0.754513,0.221756,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
295,0.995192,1,0.40943,0.00605178,0.555649,0.756473,0.220157,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
300,0.995192,1,0.410474,0.00606746,0.557208,0.758433,0.218559,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
305,0.995204,1,0.411518,0.00608314,0.558795,0.760393,0.216963,0,0,0,0,0,0,0,28.2883,33.2963,33.3326
310,0.76171,0.637755,0.267747,0.00466279,0.49882,0.761588,0.208601,71,0,71,0,71,0,0,28.2883,33.2963,33.3326
315,0.994438,1,0.409571,0.00545019,0.529857,0.763027,0.214396,0,0,0,0,0,0,0,28.2883,33.2963,33.3332
320,0.994445,1,0.410664,0.00546419,0.532951,0.764986,0.211207,0,0,0,0,0,0,0,28.2883,33.2963,33.3332
325,0.994438,1,0.411716,0.00547818,0.53488,0.766945,0.209198,0,0,0,0,0,0,0,28.2883,33.2963,33.3332
330,0.994439,1,0.412755,0.00549218,0.5365,0.768905,0.207532,0,0,0,0,0,0,0,28.2883,33.2963,33.3332
335,0.994439,1,0.41379,0.00550617,0.538019,0.770864,0.205968,0,0,0,0,0,0,0,28.2883,33.2963,33.3332
