timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,clustersHealthy,clustersDegraded,clustersCritical,actionsReinforce,actionsDisband,actionsClusterDoNothing,cycleS1Cluster,cycleS2Cluster,qClusterDoNothing,qReinforce,qDisband
170,0.992071,0.988,0.389172,0.00634028,0.42518,0.720486,0.23839,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
175,0.992071,0.988,0.389728,0.00635696,0.416484,0.722382,0.247305,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
180,0.992071,0.988,0.390453,0.00637365,0.411568,0.724278,0.252366,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
185,0.992071,0.988,0.391255,0.00639033,0.408344,0.726174,0.255689,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
190,0.992072,0.988,0.392104,0.00640702,0.406179,0.72807,0.257928,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
195,0.992072,0.988,0.392988,0.0064237,0.404768,0.729966,0.259383,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
200,0.99207,0.988,0.393898,0.00644039,0.403928,0.731862,0.26025,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
205,0.992084,0.988,0.394828,0.00645707,0.40355,0.733758,0.260671,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
210,0.992071,0.988,0.395772,0.00647376,0.403445,0.735654,0.260755,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
215,0.992071,0.988,0.396727,0.00649044,0.403613,0.73755,0.260584,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
220,0.992071,0.988,0.397691,0.00650713,0.403971,0.739446,0.26022,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
225,0.99207,0.988,0.398662,0.00652381,0.404469,0.741342,0.259709,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
230,0.992072,0.988,0.399637,0.0065405,0.405082,0.743238,0.259086,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
235,0.992086,0.988,0.400617,0.00655718,0.405806,0.745134,0.258376,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
240,0.992071,0.988,0.401599,0.00657386,0.406532,0.74703,0.2576,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
245,0.992071,0.988,0.402583,0.00659055,0.407341,0.748926,0.256771,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
250,0.992071,0.988,0.403569,0.00660723,0.40819,0.750822,0.255902,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
255,0.992071,0.988,0.404557,0.00662392,0.409072,0.752718,0.255,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
260,0.992071,0.988,0.405546,0.0066406,0.409977,0.754614,0.254073,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
265,0.992071,0.988,0.406536,0.00665729,0.410903,0.75651,0.253125,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
270,0.992085,0.988,0.407526,0.00667397,0.411876,0.758406,0.25216,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
275,0.99207,0.988,0.408517,0.00669066,0.412801,0.760302,0.251182,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
280,0.992071,0.988,0.409509,0.00670734,0.413768,0.762198,0.250192,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
285,0.992071,0.988,0.410501,0.00672403,0.414745,0.764094,0.249193,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
290,0.99207,0.988,0.411493,0.00674071,0.415728,0.76599,0.248186,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
295,0.992071,0.988,0.412486,0.0067574,0.41672,0.767886,0.247172,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
300,0.992071,0.988,0.413478,0.00677408,0.417717,0.769782,0.246152,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
305,0.991405,0.988,0.414471,0.00679077,0.417285,0.771678,0.245128,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,22,0,0,0,0,0,0,0,27.0053,30.7167,15.5768
310,0.879254,0.76,0.415237,0.00680344,0.325734,0.773118,0.244097,0,0,0,0,0,0,0,24.4273,33.1153,52.3977,13,1,8,1,8,0,9,0,27.0053,30.7167,15.5768
315,0.577825,0.264463,0.134013,0.00447455,0.209566,0.773459,0.255392,118,0,118,0,118,0,0,24.4273,33.1153,52.3977,15,1,1,1,1,0,2,0,27.0053,30.7109,15.7394
320,0.877869,0.721992,0.313518,0.0051388,0.285381,0.774032,0.251373,7,0,7,0,7,0,0,24.4273,33.1153,52.3982,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
325,0.914975,0.751037,0.326127,0.00546942,0.307242,0.77537,0.253184,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
330,0.916144,0.751037,0.32691,0.00547943,0.311073,0.776789,0.251104,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
335,0.916141,0.751037,0.327662,0.00548944,0.312239,0.778208,0.249879,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
340,0.916142,0.751037,0.328414,0.00549945,0.313382,0.779627,0.24868,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
345,0.916146,0.751037,0.329161,0.00550946,0.31439,0.781046,0.247629,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
350,0.916145,0.751037,0.329905,0.00551947,0.315332,0.782466,0.24664,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
355,0.916141,0.751037,0.330648,0.00552948,0.316214,0.783885,0.245706,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
360,0.916144,0.751037,0.331389,0.00553949,0.317076,0.785304,0.244808,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
365,0.916158,0.751037,0.332129,0.0055495,0.317928,0.786723,0.243936,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
370,0.914958,0.751037,0.332869,0.00555951,0.316783,0.788142,0.243083,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
375,0.915046,0.751037,0.333608,0.00556952,0.317721,0.789561,0.242245,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
380,0.913772,0.751037,0.334347,0.00557953,0.31656,0.79098,0.241416,0,0,0,0,0,0,0,24.4273,33.1153,52.3983,17,0,0,0,0,0,0,0,27.0053,30.7139,15.758
