966478005+60+1+0,1,2,3,4,5
543855471+60+2+0,1,2,4,5,6
2136877301+60+3+0,1,2,3,4,5
1082968262+60+3+0,1,2,3,5,6
476017233+60+2+0,1,2,3,5,6
1429236166+60+3+0,1,2,3,5,6
98861546+60+3+0,1,2,3,4,5
320139137+60+2+0,1,2,4,5,6
1066424207+60+1+0,1,2,3,4,5
2010334173+60+2+0,1,2,5
1868350591+60+2+0,1,2,3,4,6
1017687790+60+3+0,1,2,3,4,6
