group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
300_with_failures,300,7,1,310,4,146,0.988884,0.98,0.772648,0.486486,0.988247,0.97973,146,0,0.21559899999999999
300_with_failures,300,7,2,460,4,62,0.988249,0.97973,0.852244,0.767123,0.987456,0.979452,61,1,0.135212
300_with_failures,300,7,3,610,3,26,0.987455,0.979452,0.90223,0.889273,0.988112,0.986159,25,1,0.08588200000000001
300_with_failures,300,8,1,310,4,135,0.990754,0.983333,0.777735,0.527027,0.990034,0.983108,135,0,0.21229900000000002
300_with_failures,300,8,2,460,4,112,0.990261,0.983108,0.795302,0.599315,0.989474,0.982877,108,1,0.194172
300_with_failures,300,8,3,610,4,87,0.989332,0.982877,0.815106,0.680556,0.991005,0.993056,81,4,0.17589900000000003
300_with_failures,300,9,1,310,4,57,0.990193,0.98,0.848844,0.787162,0.9886,0.97973,57,0,0.139756
300_with_failures,300,9,2,460,4,67,0.9886,0.97973,0.836146,0.75,0.992198,0.996575,67,0,0.15605200000000008
300_with_failures,300,9,3,610,4,47,0.992753,0.996575,0.857751,0.833333,0.993048,0.996528,46,1,0.135297
300_with_failures,300,10,1,310,4,100,0.993803,0.993333,0.82924,0.655405,0.992733,0.993243,100,0,0.163493
300_with_failures,300,10,2,460,3,114,0.992731,0.993243,0.826306,0.604096,0.991894,0.993174,114,0,0.16558800000000007
300_with_failures,300,10,3,610,3,89,0.991896,0.993174,0.850213,0.686207,0.992443,0.996552,89,0,0.14222999999999997
300_with_failures,300,11,1,310,4,74,0.994333,0.993333,0.856875,0.743243,0.993751,0.993243,74,0,0.136876
300_with_failures,300,11,2,460,4,82,0.993751,0.993243,0.840335,0.712329,0.992675,0.993151,82,0,0.15233999999999992
300_with_failures,300,11,3,610,3,102,0.992675,0.993151,0.831964,0.640138,0.992321,0.99308,100,1,0.16035699999999997
300_with_failures,300,12,1,310,4,108,0.991687,0.983333,0.813359,0.618243,0.990833,0.983108,108,0,0.1774739999999999
300_with_failures,300,12,2,460,4,96,0.990834,0.983108,0.817389,0.65411,0.989293,0.982877,96,0,0.17190399999999995
300_with_failures,300,12,3,610,3,48,0.989755,0.982877,0.877987,0.816609,0.987481,0.982699,48,0,0.10949400000000009
300_with_failures,300,13,1,310,4,50,0.993982,0.993333,0.863193,0.824324,0.992712,0.993243,50,0,0.12951900000000005
300_with_failures,300,13,2,460,4,91,0.992158,0.993243,0.816518,0.681507,0.992196,0.993151,89,1,0.175678
300_with_failures,300,13,3,610,4,78,0.992197,0.993151,0.823416,0.722222,0.991217,0.993056,75,1,0.16780099999999998
300_with_failures,300,14,1,310,4,100,0.989158,0.976667,0.807087,0.638514,0.987274,0.976351,100,0,0.18018699999999999
300_with_failures,300,14,2,460,3,32,0.987272,0.976351,0.892588,0.866894,0.990137,0.986348,31,1,0.097549
300_with_failures,300,14,3,610,4,61,0.990137,0.986348,0.842992,0.775087,0.98937,0.986159,60,0,0.146378
300_with_failures,300,15,1,310,5,61,0.995318,0.996667,0.858287,0.789831,0.994933,0.99661,61,0,0.13664599999999993
300_with_failures,300,15,2,460,4,63,0.994958,0.99661,0.863873,0.780069,0.994185,0.996564,63,0,0.13031199999999998
300_with_failures,300,15,3,610,3,100,0.994187,0.996564,0.837042,0.649306,0.993923,0.996528,100,0,0.15688100000000005
300_with_failures,300,16,1,310,4,89,0.994114,0.993333,0.875633,0.692568,0.993478,0.993243,89,0,0.11784499999999998
300_with_failures,300,16,2,460,3,76,0.993479,0.993243,0.893293,0.733788,0.991895,0.993174,76,0,0.09860199999999997
300_with_failures,300,16,3,610,3,52,0.991894,0.993174,0.915282,0.813793,0.990735,0.993103,52,0,0.07545299999999999
300_with_failures,300,17,1,310,5,90,0.988749,0.976667,0.835085,0.671186,0.987959,0.976271,90,0,0.15287400000000007
300_with_failures,300,17,2,460,4,94,0.987962,0.976271,0.838054,0.652921,0.986777,0.975945,92,1,0.14872300000000005
300_with_failures,300,17,3,610,4,26,0.986777,0.975945,0.905574,0.885017,0.986604,0.97561,24,1,0.08103000000000005
300_with_failures,300,18,1,310,4,97,0.993972,0.99,0.834903,0.662162,0.993412,0.993243,97,0,0.158509
300_with_failures,300,18,2,460,4,32,0.993414,0.993243,0.89845,0.883562,0.992569,0.993151,32,0,0.09411900000000006
300_with_failures,300,18,3,610,3,85,0.992749,0.993151,0.856403,0.698962,0.992597,0.99308,85,0,0.13619399999999993
300_with_failures,300,19,1,310,4,131,0.991862,0.983333,0.784114,0.540541,0.99008,0.983108,131,0,0.20596599999999998
300_with_failures,300,19,2,460,3,89,0.990077,0.983108,0.837419,0.679181,0.988746,0.982935,89,0,0.151327
300_with_failures,300,19,3,610,3,77,0.988737,0.982935,0.84905,0.717241,0.988226,0.982759,77,0,0.13917600000000008
300_with_failures,300,20,1,310,5,88,0.993111,0.99,0.834609,0.691525,0.992859,0.989831,88,0,0.15825
300_with_failures,300,20,2,460,4,140,0.992859,0.989831,0.785809,0.508591,0.993963,0.996564,140,0,0.20815400000000006
300_with_failures,300,20,3,610,4,100,0.993963,0.996564,0.822576,0.648084,0.993083,0.996516,100,0,0.17050700000000008
300_with_failures,300,21,1,310,4,78,0.990848,0.986667,0.825129,0.722973,0.993125,0.996622,78,0,0.16799600000000003
300_with_failures,300,21,2,460,3,116,0.993124,0.996622,0.806455,0.600683,0.99382,1.0,116,0,0.187365
300_with_failures,300,21,3,610,3,128,0.993819,1.0,0.790165,0.558621,0.993463,1.0,128,0,0.20329799999999998
300_with_failures,300,22,1,310,4,57,0.99516,0.993333,0.88362,0.800676,0.993503,0.993243,57,0,0.10988300000000006
300_with_failures,300,22,2,460,4,81,0.993503,0.993243,0.856236,0.715753,0.992877,0.993151,80,1,0.136641
300_with_failures,300,22,3,610,4,99,0.992878,0.993151,0.83212,0.649306,0.991763,0.993056,99,0,0.15964299999999998
300_with_failures,300,23,1,310,4,102,0.98517,0.963333,0.816397,0.618243,0.983444,0.962838,102,0,0.16704699999999995
300_with_failures,300,23,2,460,3,72,0.983445,0.962838,0.857682,0.716724,0.982739,0.962457,72,0,0.12505699999999997
300_with_failures,300,23,3,610,3,102,0.982738,0.962457,0.82188,0.610345,0.982068,0.962069,102,0,0.160188
300_with_failures,300,24,1,310,4,76,0.99307,0.99,0.856235,0.733108,0.991911,0.989865,76,0,0.13567600000000002
300_with_failures,300,24,2,460,4,134,0.991912,0.989865,0.792048,0.530822,0.991413,0.989726,134,0,0.19936500000000001
300_with_failures,300,24,3,610,3,109,0.991421,0.989726,0.827948,0.612457,0.990745,0.989619,106,1,0.16279699999999997
300_with_failures,300,25,1,310,4,123,0.99179,0.986667,0.800928,0.570946,0.992,0.989865,123,0,0.19107200000000002
300_with_failures,300,25,2,460,4,115,0.991999,0.989865,0.804813,0.59589,0.99093,0.989726,115,0,0.18611699999999998
300_with_failures,300,25,3,610,3,120,0.99093,0.989726,0.813763,0.574394,0.991949,0.99308,120,0,0.17818599999999996
300_with_failures,300,26,1,310,4,65,0.988666,0.976667,0.862024,0.756757,0.988736,0.97973,65,0,0.12671199999999994
300_with_failures,300,26,2,460,3,71,0.988736,0.97973,0.867823,0.737201,0.988463,0.979522,71,0,0.12063999999999997
300_with_failures,300,26,3,610,3,85,0.987893,0.979522,0.851961,0.686207,0.989533,0.986207,85,0,0.13757200000000003
300_with_failures,300,27,1,310,4,112,0.995861,1.0,0.798907,0.621622,0.99484,1.0,112,0,0.1959329999999999
300_with_failures,300,27,2,460,3,63,0.994841,1.0,0.862917,0.784983,0.994626,1.0,63,0,0.13170899999999996
300_with_failures,300,27,3,610,3,73,0.994624,1.0,0.848156,0.748276,0.994134,1.0,73,0,0.14597799999999994
300_with_failures,300,28,1,310,4,87,0.99071,0.983333,0.847132,0.689189,0.991105,0.986486,87,0,0.14397300000000002
300_with_failures,300,28,2,460,4,109,0.991103,0.986486,0.819546,0.613014,0.989541,0.986301,109,0,0.169995
300_with_failures,300,28,3,610,3,57,0.989524,0.986301,0.884514,0.788927,0.993843,1.0,55,1,0.10932900000000001
300_with_failures,300,29,1,310,4,35,0.991748,0.986667,0.893771,0.868243,0.990705,0.986486,35,0,0.09693399999999996
300_with_failures,300,29,2,460,4,43,0.990706,0.986486,0.882345,0.839041,0.989884,0.986301,43,0,0.10753899999999994
300_with_failures,300,29,3,610,4,73,0.989884,0.986301,0.848651,0.732639,0.986711,0.986111,73,0,0.13805999999999996
300_with_failures,300,30,1,310,5,76,0.991085,0.983333,0.827371,0.725424,0.990082,0.983051,76,0,0.16271100000000005
300_with_failures,300,30,2,460,4,142,0.99027,0.983051,0.766862,0.494845,0.989872,0.986254,142,0,0.22300999999999993
300_with_failures,300,30,3,610,4,120,0.989871,0.986254,0.786925,0.567944,0.989913,0.986063,119,1,0.20298800000000006
300_with_failures,300,31,1,310,4,75,0.991397,0.986667,0.8392,0.733108,0.99091,0.986486,75,0,0.15171
300_with_failures,300,31,2,460,3,69,0.991123,0.986486,0.858023,0.750853,0.990277,0.986348,69,0,0.13225399999999998
300_with_failures,300,31,3,610,3,109,0.990894,0.986348,0.813715,0.610345,0.991391,0.989655,107,1,0.17767600000000006
300_with_failures,300,32,1,310,4,81,0.988984,0.973333,0.823838,0.699324,0.991881,0.986486,81,0,0.16804300000000005
300_with_failures,300,32,2,460,4,92,0.99188,0.986486,0.811557,0.671233,0.991214,0.986301,92,0,0.17965700000000007
300_with_failures,300,32,3,610,4,67,0.991213,0.986301,0.834505,0.753472,0.990158,0.986111,67,0,0.15565299999999993
300_with_failures,300,33,1,310,4,100,0.9941,0.993333,0.837787,0.655405,0.993763,0.993243,100,0,0.155976
300_with_failures,300,33,2,460,4,81,0.993766,0.993243,0.852421,0.715753,0.993012,0.993151,81,0,0.14059100000000002
300_with_failures,300,33,3,610,3,75,0.99301,0.993151,0.868179,0.733564,0.991095,0.99308,75,0,0.12291599999999991
300_with_failures,300,34,1,310,4,64,0.993059,0.993333,0.845184,0.777027,0.992423,0.993243,63,1,0.147239
300_with_failures,300,34,2,460,4,104,0.992363,0.993243,0.799678,0.636986,0.993484,0.993151,104,0,0.19380600000000003
300_with_failures,300,34,3,610,3,152,0.992624,0.993151,0.764114,0.467128,0.99118,0.99308,152,0,0.227066
300_with_failures,300,35,1,310,4,133,0.989497,0.976667,0.780597,0.527027,0.988495,0.976351,133,0,0.20789800000000003
300_with_failures,300,35,2,460,3,47,0.98849,0.976351,0.88019,0.8157,0.987173,0.976109,47,0,0.10698299999999994
300_with_failures,300,35,3,610,3,32,0.987179,0.976109,0.894337,0.865517,0.986761,0.975862,32,0,0.09242399999999995
