group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
200_with_failures,200,16,3,600,4,73,0.992256,0.994764,0.769359,0.604278,0.992294,1.0,73,0,0.222935
200_with_failures,200,17,1,300,4,55,0.993884,0.995,0.822752,0.714286,0.993131,0.994898,55,0,0.170379
200_with_failures,200,17,2,450,3,33,0.993131,0.994898,0.869055,0.823834,0.992621,0.994819,32,1,0.123566
200_with_failures,200,17,3,600,3,20,0.992619,0.994819,0.885081,0.889474,0.991293,0.994737,20,0,0.106212
200_with_failures,200,18,1,300,4,72,0.99495,1.0,0.797789,0.632653,0.994208,1.0,72,0,0.196419
200_with_failures,200,18,2,450,3,78,0.994224,1.0,0.802465,0.595855,0.993986,1.0,78,0,0.191521
200_with_failures,200,18,3,600,3,30,0.993986,1.0,0.874165,0.842105,0.991614,1.0,29,1,0.117449
200_with_failures,200,19,1,300,4,81,0.991155,0.985,0.749464,0.571429,0.990587,0.989796,81,0,0.241123
200_with_failures,200,19,2,450,3,42,0.991418,0.989796,0.832833,0.772021,0.992687,0.994819,42,0,0.159854
200_with_failures,200,19,3,600,3,24,0.993258,0.994819,0.853204,0.868421,0.989842,0.994737,24,0,0.136638
200_with_failures,200,20,1,300,4,78,0.989761,0.98,0.758521,0.581633,0.987978,0.979592,78,0,0.229457
200_with_failures,200,20,2,450,3,57,0.98797,0.979592,0.810922,0.683938,0.987078,0.979275,57,0,0.176156
200_with_failures,200,20,3,600,3,88,0.987065,0.979275,0.759432,0.515789,0.986231,0.978947,88,0,0.226799
200_with_failures,200,21,1,300,4,67,0.994088,0.995,0.75812,0.653061,0.993238,0.994898,67,0,0.235118
200_with_failures,200,21,2,450,3,74,0.993232,0.994898,0.762998,0.611399,0.992991,0.994819,74,0,0.229993
200_with_failures,200,21,3,600,3,46,0.992992,0.994819,0.783462,0.752632,0.992066,0.994737,46,0,0.208604
200_with_failures,200,22,1,300,4,74,0.992793,0.99,0.746826,0.612245,0.991985,0.989796,74,0,0.245159
200_with_failures,200,22,2,450,3,85,0.991977,0.989796,0.753577,0.549223,0.992491,0.989637,85,0,0.238914
200_with_failures,200,22,3,600,3,50,0.991898,0.989637,0.797076,0.726316,0.99069,0.989474,50,0,0.193614
200_with_failures,200,23,1,300,4,68,0.992962,0.995,0.80602,0.647959,0.992695,0.994898,68,0,0.186675
200_with_failures,200,23,2,450,3,77,0.992696,0.994898,0.804732,0.595855,0.99198,0.994819,77,0,0.187248
200_with_failures,200,23,3,600,3,54,0.992387,0.994819,0.834534,0.710526,0.990904,0.994737,54,0,0.15637
200_with_failures,200,24,1,300,4,68,0.995266,1.0,0.766208,0.653061,0.994293,1.0,68,0,0.228085
200_with_failures,200,24,2,450,4,92,0.994301,1.0,0.716805,0.520833,0.993229,1.0,92,0,0.276424
200_with_failures,200,24,3,600,3,49,0.992792,1.0,0.808638,0.740741,0.993145,1.0,49,0,0.184507
