[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0.17008,0.260618,0.311642
315,0,-0.00474146,-0.0158049,-0.0172273
320,0,-0.00474146,-0.0158049,-0.0172273
325,0,-0.00474146,-0.0158049,-0.0172273
330,0,-0.00474146,-0.0158049,-0.0172273
335,0,-0.00474146,-0.0158049,-0.0172273
340,0,-0.00474146,-0.0158049,-0.0172273
345,0,-0.00474146,-0.0158049,-0.0172273
350,0,-0.00474146,-0.0158049,-0.0172273
355,0,-0.00474146,-0.0158049,-0.0172273
360,0,-0.00474146,-0.0158049,-0.0172273
365,0,-0.00474146,-0.0158049,-0.0172273
370,0,-0.00474146,-0.0158049,-0.0172273
375,0,-0.00474146,-0.0158049,-0.0172273
380,0,-0.00474146,-0.0158049,-0.0172273
385,0,-0.00474146,-0.0158049,-0.0172273
390,0,-0.00474146,-0.0158049,-0.0172273
395,0,-0.00474146,-0.0158049,-0.0172273
400,0,-0.00474146,-0.0158049,-0.0172273
405,0,-0.00474146,-0.0158049,-0.0172273
410,0,-0.00474146,-0.0158049,-0.0172273
415,0,-0.00474146,-0.0158049,-0.0172273
420,0,-0.00474146,-0.0158049,-0.0172273
425,0,-0.00474146,-0.0158049,-0.0172273
430,0,-0.00474146,-0.0158049,-0.0172273
435,0,-0.00474146,-0.0158049,-0.0172273
440,0,-0.00474146,-0.0158049,-0.0172273
445,0,-0.00474146,-0.0158049,-0.0172273
450,0,-0.00474146,-0.0158049,-0.0172273
455,0,-0.00474146,-0.0158049,-0.0172273
460,0,0.18757,0.286579,0.342849
465,0,-0.00948099,-0.0316033,-0.0344476
470,0,-0.00948099,-0.0316033,-0.0344476
475,0,-0.00948099,-0.0316033,-0.0344476
480,0,-0.00948099,-0.0316033,-0.0344476
485,0,-0.00948099,-0.0316033,-0.0344476
490,0,-0.00948099,-0.0316033,-0.0344476
495,0,-0.00948099,-0.0316033,-0.0344476
500,0,-0.00948099,-0.0316033,-0.0344476
505,0,-0.00948099,-0.0316033,-0.0344476
510,0,-0.00948099,-0.0316033,-0.0344476
515,0,-0.00948099,-0.0316033,-0.0344476
520,0,-0.00948099,-0.0316033,-0.0344476
525,0,-0.00948099,-0.0316033,-0.0344476
530,0,-0.00948099,-0.0316033,-0.0344476
535,0,-0.00948099,-0.0316033,-0.0344476
540,0,-0.00948099,-0.0316033,-0.0344476
545,0,-0.00948099,-0.0316033,-0.0344476
550,0,-0.00948099,-0.0316033,-0.0344476
555,0,-0.00948099,-0.0316033,-0.0344476
560,0,-0.00948099,-0.0316033,-0.0344476
565,0,-0.00948099,-0.0316033,-0.0344476
570,0,-0.00948099,-0.0316033,-0.0344476
575,0,-0.00948099,-0.0316033,-0.0344476
580,0,-0.00948099,-0.0316033,-0.0344476
585,0,-0.00948099,-0.0316033,-0.0344476
590,0,-0.00948099,-0.0316033,-0.0344476
595,0,-0.00948099,-0.0316033,-0.0344476
600,0,-0.00948099,-0.0316033,-0.0344476
605,0,-0.00948099,-0.0316033,-0.0344476
610,0,0.125694,0.0618487,0.0995568
615,0,-0.0142185,-0.047395,-0.0516605
620,0,-0.0142185,-0.047395,-0.0516605
625,0,-0.0142185,-0.047395,-0.0516605
630,0,-0.0142185,-0.047395,-0.0516605
635,0,-0.0142185,-0.047395,-0.0516605
640,0,-0.0142185,-0.047395,-0.0516605
645,0,-0.0142185,-0.047395,-0.0516605
650,0,-0.0142185,-0.047395,-0.0516605
655,0,-0.0142185,-0.047395,-0.0516605
660,0,-0.0142185,-0.047395,-0.0516605
665,0,-0.0142185,-0.047395,-0.0516605
670,0,-0.0142185,-0.047395,-0.0516605
675,0,-0.0142185,-0.047395,-0.0516605
680,0,-0.0142185,-0.047395,-0.0516605
685,0,-0.0142185,-0.047395,-0.0516605
690,0,-0.0142185,-0.047395,-0.0516605
695,0,-0.0142185,-0.047395,-0.0516605
700,0,-0.0142185,-0.047395,-0.0516605
705,0,-0.0142185,-0.047395,-0.0516605
710,0,-0.0142185,-0.047395,-0.0516605
715,0,-0.0142185,-0.047395,-0.0516605
720,0,-0.0142185,-0.047395,-0.0516605
725,0,-0.0142185,-0.047395,-0.0516605
730,0,-0.0142185,-0.047395,-0.0516605
735,0,-0.0142185,-0.047395,-0.0516605
740,0,-0.0142185,-0.047395,-0.0516605
745,0,-0.0142185,-0.047395,-0.0516605
750,0,-0.0142185,-0.047395,-0.0516605
755,0,-0.0142185,-0.047395,-0.0516605
760,0,-0.0142185,-0.047395,-0.0516605
765,0,-0.0142185,-0.047395,-0.0516605
770,0,-0.0142185,-0.047395,-0.0516605
775,0,-0.0142185,-0.047395,-0.0516605
780,0,-0.0142185,-0.047395,-0.0516605
785,0,-0.0142185,-0.047395,-0.0516605
790,0,-0.0142185,-0.047395,-0.0516605
795,0,-0.0142185,-0.047395,-0.0516605
800,0,-0.0142185,-0.047395,-0.0516605
805,0,-0.0142185,-0.047395,-0.0516605
810,0,-0.0142185,-0.047395,-0.0516605
815,0,-0.0142185,-0.047395,-0.0516605
820,0,-0.0142185,-0.047395,-0.0516605
825,0,-0.0142185,-0.047395,-0.0516605
830,0,-0.0142185,-0.047395,-0.0516605
835,0,-0.0142185,-0.047395,-0.0516605
840,0,-0.0142185,-0.047395,-0.0516605
