[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,-0.315153,-0.628,-0.722546
315,0,0.350214,0.586622,0.691686
320,0,-0.00824564,-0.0274855,-0.0299592
325,0,-0.00824564,-0.0274855,-0.0299592
330,0,-0.00824564,-0.0274855,-0.0299592
335,0,-0.00824564,-0.0274855,-0.0299592
340,0,-0.00824564,-0.0274855,-0.0299592
345,0,-0.00824564,-0.0274855,-0.0299592
350,0,-0.00824564,-0.0274855,-0.0299592
355,0,-0.00824564,-0.0274855,-0.0299592
360,0,-0.00824564,-0.0274855,-0.0299592
365,0,-0.00824564,-0.0274855,-0.0299592
370,0,-0.00824564,-0.0274855,-0.0299592
375,0,-0.00824564,-0.0274855,-0.0299592
380,0,-0.00824564,-0.0274855,-0.0299592
385,0,-0.00824564,-0.0274855,-0.0299592
390,0,-0.00824564,-0.0274855,-0.0299592
395,0,-0.00824564,-0.0274855,-0.0299592
400,0,-0.00824564,-0.0274855,-0.0299592
405,0,-0.00824564,-0.0274855,-0.0299592
410,0,-0.00824564,-0.0274855,-0.0299592
415,0,-0.00824564,-0.0274855,-0.0299592
420,0,-0.00824564,-0.0274855,-0.0299592
425,0,-0.00824564,-0.0274855,-0.0299592
430,0,-0.00824564,-0.0274855,-0.0299592
435,0,-0.00824564,-0.0274855,-0.0299592
440,0,-0.00824564,-0.0274855,-0.0299592
445,0,-0.00824564,-0.0274855,-0.0299592
450,0,-0.00824564,-0.0274855,-0.0299592
455,0,-0.00824564,-0.0274855,-0.0299592
460,0,-0.00824564,-0.0274855,-0.0299592
465,0,-0.00824564,-0.0274855,-0.0299592
470,0,-0.00824564,-0.0274855,-0.0299592
475,0,-0.00824564,-0.0274855,-0.0299592
480,0,-0.00824564,-0.0274855,-0.0299592
485,0,-0.00824564,-0.0274855,-0.0299592
490,0,-0.00824564,-0.0274855,-0.0299592
495,0,-0.00824564,-0.0274855,-0.0299592
500,0,-0.00824564,-0.0274855,-0.0299592
505,0,-0.00824564,-0.0274855,-0.0299592
510,0,-0.00824564,-0.0274855,-0.0299592
515,0,-0.00824564,-0.0274855,-0.0299592
520,0,-0.00824564,-0.0274855,-0.0299592
525,0,-0.00824564,-0.0274855,-0.0299592
530,0,-0.00824564,-0.0274855,-0.0299592
535,0,-0.00824564,-0.0274855,-0.0299592
540,0,-0.00824564,-0.0274855,-0.0299592
545,0,-0.00824564,-0.0274855,-0.0299592
550,0,-0.00824564,-0.0274855,-0.0299592
555,0,-0.00824564,-0.0274855,-0.0299592
560,0,-0.00824564,-0.0274855,-0.0299592
565,0,-0.00824564,-0.0274855,-0.0299592
570,0,-0.00824564,-0.0274855,-0.0299592
575,0,-0.00824564,-0.0274855,-0.0299592
580,0,-0.00824564,-0.0274855,-0.0299592
585,0,-0.00824564,-0.0274855,-0.0299592
590,0,-0.00824564,-0.0274855,-0.0299592
595,0,-0.00824564,-0.0274855,-0.0299592
600,0,-0.00824564,-0.0274855,-0.0299592
605,0,-0.00824564,-0.0274855,-0.0299592
610,0,-0.227957,-0.485361,-0.553748
615,0,0.2568,0.437593,0.514633
620,0,-0.00982373,-0.0327458,-0.0356929
625,0,-0.00982373,-0.0327458,-0.0356929
630,0,-0.00982373,-0.0327458,-0.0356929
635,0,-0.00982373,-0.0327458,-0.0356929
640,0,-0.00982373,-0.0327458,-0.0356929
645,0,-0.00982373,-0.0327458,-0.0356929
650,0,-0.00982373,-0.0327458,-0.0356929
655,0,-0.00982373,-0.0327458,-0.0356929
660,0,-0.00982373,-0.0327458,-0.0356929
665,0,-0.00982373,-0.0327458,-0.0356929
670,0,-0.00982373,-0.0327458,-0.0356929
675,0,-0.00982373,-0.0327458,-0.0356929
680,0,-0.00982373,-0.0327458,-0.0356929
685,0,-0.00982373,-0.0327458,-0.0356929
690,0,-0.00982373,-0.0327458,-0.0356929
695,0,-0.00982373,-0.0327458,-0.0356929
700,0,-0.00982373,-0.0327458,-0.0356929
705,0,-0.00982373,-0.0327458,-0.0356929
710,0,-0.00982373,-0.0327458,-0.0356929
715,0,-0.00982373,-0.0327458,-0.0356929
720,0,-0.00982373,-0.0327458,-0.0356929
725,0,-0.00982373,-0.0327458,-0.0356929
730,0,-0.00982373,-0.0327458,-0.0356929
735,0,-0.00982373,-0.0327458,-0.0356929
740,0,-0.00982373,-0.0327458,-0.0356929
745,0,-0.00982373,-0.0327458,-0.0356929
750,0,-0.00982373,-0.0327458,-0.0356929
755,0,-0.00982373,-0.0327458,-0.0356929
760,0,-0.00982373,-0.0327458,-0.0356929
765,0,-0.00982373,-0.0327458,-0.0356929
770,0,-0.00982373,-0.0327458,-0.0356929
775,0,-0.00982373,-0.0327458,-0.0356929
780,0,-0.00982373,-0.0327458,-0.0356929
785,0,-0.00982373,-0.0327458,-0.0356929
790,0,-0.00982373,-0.0327458,-0.0356929
795,0,-0.00982373,-0.0327458,-0.0356929
800,0,-0.00982373,-0.0327458,-0.0356929
805,0,-0.00982373,-0.0327458,-0.0356929
810,0,-0.00982373,-0.0327458,-0.0356929
815,0,-0.00982373,-0.0327458,-0.0356929
820,0,-0.00982373,-0.0327458,-0.0356929
825,0,-0.00982373,-0.0327458,-0.0356929
830,0,-0.00982373,-0.0327458,-0.0356929
