[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0.0711449,0.096871,0.118214
310,0,-0.00239032,-0.00796774,-0.00868484
315,0,-0.00239032,-0.00796774,-0.00868484
320,0,-0.00239032,-0.00796774,-0.00868484
325,0,-0.00239032,-0.00796774,-0.00868484
330,0,-0.00239032,-0.00796774,-0.00868484
335,0,-0.00239032,-0.00796774,-0.00868484
340,0,-0.00239032,-0.00796774,-0.00868484
345,0,-0.00239032,-0.00796774,-0.00868484
350,0,-0.00239032,-0.00796774,-0.00868484
355,0,-0.00239032,-0.00796774,-0.00868484
360,0,-0.00239032,-0.00796774,-0.00868484
365,0,-0.00239032,-0.00796774,-0.00868484
370,0,-0.00239032,-0.00796774,-0.00868484
375,0,-0.00239032,-0.00796774,-0.00868484
380,0,-0.00239032,-0.00796774,-0.00868484
385,0,-0.00239032,-0.00796774,-0.00868484
390,0,-0.00239032,-0.00796774,-0.00868484
395,0,-0.00239032,-0.00796774,-0.00868484
400,0,-0.00239032,-0.00796774,-0.00868484
405,0,-0.00239032,-0.00796774,-0.00868484
410,0,-0.00239032,-0.00796774,-0.00868484
415,0,-0.00239032,-0.00796774,-0.00868484
420,0,-0.00239032,-0.00796774,-0.00868484
425,0,-0.00239032,-0.00796774,-0.00868484
430,0,-0.00239032,-0.00796774,-0.00868484
435,0,-0.00239032,-0.00796774,-0.00868484
440,0,-0.00239032,-0.00796774,-0.00868484
445,0,-0.00239032,-0.00796774,-0.00868484
450,0,-0.00239032,-0.00796774,-0.00868484
455,0,-0.00239032,-0.00796774,-0.00868484
460,0,-0.00239032,-0.00796774,-0.00868484
465,0,-0.00239032,-0.00796774,-0.00868484
470,0,-0.00239032,-0.00796774,-0.00868484
475,0,-0.00239032,-0.00796774,-0.00868484
480,0,-0.00239032,-0.00796774,-0.00868484
485,0,-0.00239032,-0.00796774,-0.00868484
490,0,-0.00239032,-0.00796774,-0.00868484
495,0,-0.00239032,-0.00796774,-0.00868484
500,0,-0.00239032,-0.00796774,-0.00868484
505,0,-0.00239032,-0.00796774,-0.00868484
510,0,-0.00239032,-0.00796774,-0.00868484
515,0,-0.00239032,-0.00796774,-0.00868484
520,0,-0.00239032,-0.00796774,-0.00868484
525,0,-0.00239032,-0.00796774,-0.00868484
530,0,0.0617821,0.0653008,0.0838354
535,0,-0.0048,-0.016,-0.01744
540,0,-0.0048,-0.016,-0.01744
545,0,-0.0048,-0.016,-0.01744
550,0,-0.0048,-0.016,-0.01744
555,0,-0.0048,-0.016,-0.01744
560,0,-0.0048,-0.016,-0.01744
565,0,-0.0048,-0.016,-0.01744
570,0,-0.0048,-0.016,-0.01744
575,0,-0.0048,-0.016,-0.01744
580,0,-0.0048,-0.016,-0.01744
585,0,-0.0048,-0.016,-0.01744
590,0,-0.0048,-0.016,-0.01744
595,0,-0.0048,-0.016,-0.01744
600,0,-0.0048,-0.016,-0.01744
605,0,-0.0048,-0.016,-0.01744
610,0,-0.0048,-0.016,-0.01744
615,0,-0.0048,-0.016,-0.01744
620,0,-0.0048,-0.016,-0.01744
625,0,-0.0048,-0.016,-0.01744
630,0,-0.0048,-0.016,-0.01744
635,0,-0.0048,-0.016,-0.01744
640,0,-0.0048,-0.016,-0.01744
645,0,-0.0048,-0.016,-0.01744
650,0,-0.0048,-0.016,-0.01744
655,0,-0.0048,-0.016,-0.01744
660,0,-0.0048,-0.016,-0.01744
665,0,-0.0048,-0.016,-0.01744
670,0,0.121746,0.194222,0.230746
675,0,-0.0084,-0.028,-0.03052
680,0,-0.0084,-0.028,-0.03052
685,0,-0.0084,-0.028,-0.03052
690,0,-0.0084,-0.028,-0.03052
695,0,-0.0084,-0.028,-0.03052
700,0,-0.0084,-0.028,-0.03052
705,0,-0.0084,-0.028,-0.03052
710,0,-0.0084,-0.028,-0.03052
715,0,-0.0084,-0.028,-0.03052
720,0,-0.0084,-0.028,-0.03052
725,0,-0.0084,-0.028,-0.03052
730,0,-0.0084,-0.028,-0.03052
735,0,-0.0084,-0.028,-0.03052
740,0,-0.0084,-0.028,-0.03052
745,0,-0.0084,-0.028,-0.03052
750,0,-0.0084,-0.028,-0.03052
755,0,-0.0084,-0.028,-0.03052
760,0,-0.0084,-0.028,-0.03052
765,0,-0.0084,-0.028,-0.03052
770,0,-0.0084,-0.028,-0.03052
775,0,-0.0084,-0.028,-0.03052
780,0,-0.0084,-0.028,-0.03052
785,0,-0.0084,-0.028,-0.03052
790,0,-0.0084,-0.028,-0.03052
795,0,-0.0084,-0.028,-0.03052
800,0,-0.0084,-0.028,-0.03052
805,0,-0.0084,-0.028,-0.03052
810,0,-0.0084,-0.028,-0.03052
815,0,-0.0084,-0.028,-0.03052
820,0,-0.0084,-0.028,-0.03052
825,0,-0.0084,-0.028,-0.03052
830,0,-0.0084,-0.028,-0.03052
835,0,-0.0084,-0.028,-0.03052
840,0,-0.0084,-0.028,-0.03052
845,0,-0.0084,-0.028,-0.03052
850,0,-0.0084,-0.028,-0.03052
855,0,-0.0084,-0.028,-0.03052
860,0,-0.0084,-0.028,-0.03052
865,0,-0.0084,-0.028,-0.03052
870,0,-0.0084,-0.028,-0.03052
875,0,-0.0084,-0.028,-0.03052
880,0,-0.0084,-0.028,-0.03052
