timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.996271,1,0.388002,0.00683469,0.281756,0.707037,0.286541,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
175,0.99627,1,0.389031,0.00685293,0.283463,0.708924,0.284765,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
180,0.99627,1,0.390016,0.00687117,0.284299,0.71081,0.283905,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
185,0.99627,1,0.390994,0.0068894,0.285002,0.712697,0.283186,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
190,0.99627,1,0.391974,0.00690764,0.285745,0.714584,0.28243,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
195,0.99627,1,0.392957,0.00692588,0.286549,0.71647,0.281611,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
200,0.996271,1,0.393942,0.00694412,0.287401,0.718357,0.280744,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
205,0.996284,1,0.394929,0.00696235,0.288303,0.720244,0.279847,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
210,0.996272,1,0.395917,0.00698059,0.289182,0.72213,0.278932,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
215,0.996271,1,0.396905,0.00699883,0.290084,0.724017,0.278012,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
220,0.996271,1,0.397892,0.00701707,0.290987,0.725904,0.277091,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
225,0.99627,1,0.39888,0.00703531,0.291886,0.72779,0.276174,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
230,0.996271,1,0.399867,0.00705354,0.292783,0.729677,0.275262,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
235,0.99628,1,0.400855,0.00707178,0.293685,0.731564,0.274356,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
240,0.995577,1,0.401841,0.00709002,0.293533,0.73345,0.273457,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
245,0.996272,1,0.402828,0.00710826,0.295433,0.735337,0.272563,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
250,0.996271,1,0.403814,0.00712649,0.296302,0.737224,0.271676,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
255,0.99627,1,0.4048,0.00714473,0.297166,0.73911,0.270793,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
260,0.99627,1,0.405786,0.00716297,0.298028,0.740997,0.269916,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
265,0.99627,1,0.406771,0.00718121,0.298885,0.742884,0.269043,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
270,0.996283,1,0.407757,0.00719945,0.299756,0.74477,0.268173,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
275,0.99627,1,0.408742,0.00721768,0.300587,0.746657,0.267307,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
280,0.996271,1,0.409727,0.00723592,0.301434,0.748544,0.266444,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
285,0.996271,1,0.410712,0.00725416,0.30228,0.75043,0.265584,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
290,0.99627,1,0.411697,0.0072724,0.303119,0.752317,0.264727,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
295,0.996271,1,0.412681,0.00729063,0.303959,0.754204,0.263872,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
300,0.99627,1,0.413666,0.00730887,0.304795,0.75609,0.263018,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
305,0.996287,1,0.41465,0.00732711,0.305657,0.757977,0.262167,0,0,0,0,0,0,0,17.6339,31.1727,33.2933
310,0.795725,0.560811,0.243168,0.00640989,0.235749,0.75893,0.265355,130,0,130,0,130,0,0,17.6339,31.1727,33.2933
315,0.994982,1,0.414959,0.00719078,0.288303,0.760168,0.262644,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
320,0.99514,1,0.415976,0.00720861,0.29005,0.762054,0.261083,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
325,0.994984,1,0.416976,0.00722645,0.290998,0.763939,0.259863,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
330,0.994983,1,0.417961,0.00724428,0.291865,0.765824,0.258971,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
335,0.994983,1,0.418943,0.00726211,0.292681,0.767709,0.258134,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
340,0.994988,1,0.419924,0.00727994,0.293478,0.769594,0.257324,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
345,0.994986,1,0.420904,0.00729778,0.294257,0.771479,0.256521,0,0,0,0,0,0,0,17.6339,31.1727,33.3304
