[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0,0,0
315,0,0,0,0
320,0,0,0,0
325,0,0,0,0
330,0,0,0,0
335,0,0,0,0
340,0,0,0,0
345,0,0,0,0
350,0,0,0,0
355,0,0,0,0
360,0,0,0,0
365,0,0,0,0
370,0,0,0,0
375,0,0,0,0
380,0,0,0,0
385,0,0,0,0
390,0,0,0,0
395,0,0,0,0
400,0,0,0,0
405,0,0.092867,0.113506,0.141366
410,0,-0.0036,-0.012,-0.01308
415,0,-0.0036,-0.012,-0.01308
420,0,-0.0036,-0.012,-0.01308
425,0,-0.0036,-0.012,-0.01308
430,0,-0.0036,-0.012,-0.01308
435,0,-0.0036,-0.012,-0.01308
440,0,-0.0036,-0.012,-0.01308
445,0,-0.0036,-0.012,-0.01308
450,0,-0.0036,-0.012,-0.01308
455,0,-0.0036,-0.012,-0.01308
460,0,-0.0036,-0.012,-0.01308
465,0,-0.0036,-0.012,-0.01308
470,0,-0.0036,-0.012,-0.01308
475,0,-0.0036,-0.012,-0.01308
480,0,-0.0036,-0.012,-0.01308
485,0,-0.0036,-0.012,-0.01308
490,0,-0.0036,-0.012,-0.01308
495,0,-0.0036,-0.012,-0.01308
500,0,-0.0036,-0.012,-0.01308
505,0,-0.0036,-0.012,-0.01308
510,0,-0.0036,-0.012,-0.01308
515,0,-0.0036,-0.012,-0.01308
520,0,-0.0036,-0.012,-0.01308
525,0,-0.0036,-0.012,-0.01308
530,0,-0.0036,-0.012,-0.01308
535,0,-0.0036,-0.012,-0.01308
540,0,-0.0036,-0.012,-0.01308
545,0,-0.0036,-0.012,-0.01308
550,0,-0.0036,-0.012,-0.01308
555,0,-0.0036,-0.012,-0.01308
560,0,-0.0036,-0.012,-0.01308
565,0,-0.0036,-0.012,-0.01308
570,0,0.153606,0.316164,0.362246
575,0,-0.0072,-0.024,-0.02616
580,0,-0.0072,-0.024,-0.02616
585,0,-0.0072,-0.024,-0.02616
590,0,0.0632857,0.0713058,0.0902915
595,0,-0.0096,-0.032,-0.03488
600,0,-0.0096,-0.032,-0.03488
605,0,-0.0096,-0.032,-0.03488
610,0,-0.0096,-0.032,-0.03488
615,0,-0.0096,-0.032,-0.03488
620,0,-0.0096,-0.032,-0.03488
625,0,-0.0096,-0.032,-0.03488
630,0,-0.0096,-0.032,-0.03488
635,0,-0.0096,-0.032,-0.03488
640,0,-0.0096,-0.032,-0.03488
645,0,-0.0096,-0.032,-0.03488
650,0,-0.0096,-0.032,-0.03488
655,0,-0.0096,-0.032,-0.03488
660,0,-0.0096,-0.032,-0.03488
665,0,-0.0096,-0.032,-0.03488
670,0,-0.0096,-0.032,-0.03488
675,0,-0.0096,-0.032,-0.03488
680,0,-0.0096,-0.032,-0.03488
685,0,-0.0096,-0.032,-0.03488
690,0,-0.0096,-0.032,-0.03488
695,0,-0.0096,-0.032,-0.03488
700,0,-0.0096,-0.032,-0.03488
705,0,-0.0096,-0.032,-0.03488
710,0,-0.0096,-0.032,-0.03488
715,0,-0.0096,-0.032,-0.03488
720,0,-0.0096,-0.032,-0.03488
725,0,-0.0096,-0.032,-0.03488
730,0,-0.0096,-0.032,-0.03488
735,0,-0.0096,-0.032,-0.03488
740,0,-0.0096,-0.032,-0.03488
745,0,-0.0096,-0.032,-0.03488
750,0,-0.0096,-0.032,-0.03488
755,0,-0.0096,-0.032,-0.03488
760,0,-0.0096,-0.032,-0.03488
765,0,-0.0096,-0.032,-0.03488
770,0,-0.0096,-0.032,-0.03488
775,0,-0.0096,-0.032,-0.03488
780,0,-0.0096,-0.032,-0.03488
785,0,-0.0096,-0.032,-0.03488
790,0,-0.0096,-0.032,-0.03488
795,0,-0.0096,-0.032,-0.03488
800,0,-0.0096,-0.032,-0.03488
805,0,-0.0096,-0.032,-0.03488
810,0,-0.0096,-0.032,-0.03488
815,0,-0.0096,-0.032,-0.03488
820,0,-0.0096,-0.032,-0.03488
825,0,-0.0096,-0.032,-0.03488
830,0,-0.0096,-0.032,-0.03488
835,0,-0.0096,-0.032,-0.03488
840,0,-0.0096,-0.032,-0.03488
845,0,-0.0096,-0.032,-0.03488
850,0,-0.0096,-0.032,-0.03488
855,0,-0.0096,-0.032,-0.03488
860,0,-0.0096,-0.032,-0.03488
865,0,-0.0096,-0.032,-0.03488
870,0,-0.0096,-0.032,-0.03488
875,0,-0.0096,-0.032,-0.03488
880,0,-0.0096,-0.032,-0.03488
885,0,-0.0096,-0.032,-0.03488
890,0,-0.0096,-0.032,-0.03488
[INTUITIVE]
# stateBucket,action,reward_window...
EXISTING_VIABLE,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
