cenario,total_clusters_media,total_clusters_desvio,clusters_ativos_media,clusters_ativos_desvio,clusters_ociosos_media,clusters_ociosos_desvio,lideres_falhos_media,lideres_falhos_desvio,orfaos_gerados_media,orfaos_gerados_desvio,pct_orfaos_realocados_media,pct_orfaos_realocados_desvio,pct_orfaos_reclusterizados_media,pct_orfaos_reclusterizados_desvio,pct_orfaos_recuperados_media,pct_orfaos_recuperados_desvio
200,20.0,1.0,16.0,1.0,4.0,1.0,3.6,0.1,30.5,1.9,3.0,15.6,96.5,16.1,99.4,1.1
250,22.0,1.0,18.0,1.0,4.0,1.0,3.6,0.1,28.6,1.7,2.9,15.6,96.6,16.2,99.5,0.8
300,30.0,2.0,24.0,2.0,6.0,1.0,3.7,0.1,29.0,1.6,3.3,15.9,96.4,16.4,99.7,0.6
250 random,22.6,3.7,11.9,1.0,10.6,3.4,2.85,0.72,56.9,25.5,3.4,16.8,96.7,16.6,100.1,0.3
