[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,-0.4185,-0.576,-0.70155
315,0,0.399511,0.525129,0.644982
320,0,0.035198,-0.0258333,-0.0152739
325,0,-0.00821935,-0.03,-0.0324658
330,0,-0.00821924,-0.03,-0.0324658
335,0,-0.00933562,-0.03,-0.0328007
340,0,-0.00771867,-0.03,-0.0323156
345,0,-0.00978089,-0.03,-0.0329343
350,0,-0.00821925,-0.03,-0.0324658
355,0,-0.00978076,-0.03,-0.0329342
360,0,-0.00821925,-0.03,-0.0324658
365,0,-0.00978058,-0.03,-0.0329342
370,0,-0.00821927,-0.03,-0.0324658
375,0,-0.00978076,-0.03,-0.0329342
380,0,-0.0082193,-0.03,-0.0324658
385,0,-0.00978068,-0.03,-0.0329342
390,0,-0.00821928,-0.03,-0.0324658
395,0,-0.00978074,-0.03,-0.0329342
400,0,-0.0082193,-0.03,-0.0324658
405,0,-0.00978075,-0.03,-0.0329342
410,0,-0.00821914,-0.03,-0.0324657
415,0,-0.00978074,-0.03,-0.0329342
420,0,-0.00821942,-0.03,-0.0324658
425,0,-0.00978073,-0.03,-0.0329342
430,0,-0.00821922,-0.03,-0.0324658
435,0,-0.0097807,-0.03,-0.0329342
440,0,-0.00821926,-0.03,-0.0324658
445,0,-0.00977978,-0.03,-0.0329339
450,0,-0.00821925,-0.03,-0.0324658
455,0,-0.00978073,-0.03,-0.0329342
460,0,-0.00821925,-0.03,-0.0324658
465,0,-0.00978075,-0.03,-0.0329342
470,0,-0.00821925,-0.03,-0.0324658
475,0,-0.00978076,-0.03,-0.0329342
480,0,-0.00821928,-0.03,-0.0324658
485,0,-0.00978064,-0.03,-0.0329342
490,0,-0.00821926,-0.03,-0.0324658
495,0,-0.00978075,-0.03,-0.0329342
500,0,-0.00821926,-0.03,-0.0324658
505,0,-0.00978075,-0.03,-0.0329342
510,0,-0.00821925,-0.03,-0.0324658
515,0,-0.00978076,-0.03,-0.0329342
520,0,-0.00821922,-0.03,-0.0324658
525,0,-0.00978059,-0.03,-0.0329342
530,0,-0.00821925,-0.03,-0.0324658
535,0,-0.00978075,-0.03,-0.0329342
540,0,-0.00821924,-0.03,-0.0324658
545,0,-0.00978074,-0.03,-0.0329342
550,0,-0.00821914,-0.03,-0.0324657
555,0,-0.00978077,-0.03,-0.0329342
560,0,-0.00821927,-0.03,-0.0324658
565,0,-0.0097807,-0.03,-0.0329342
570,0,-0.0082193,-0.03,-0.0324658
575,0,-0.00978071,-0.03,-0.0329342
580,0,-0.00821929,-0.03,-0.0324658
585,0,-0.0097819,-0.03,-0.0329346
590,0,-0.00828432,-0.03,-0.0324853
595,0,-0.00978078,-0.03,-0.0329342
600,0,-0.00821924,-0.03,-0.0324658
605,0,-0.0097807,-0.03,-0.0329342
610,0,-0.296492,-0.450833,-0.539781
615,0,0.331547,0.404881,0.504345
620,0,-0.00886829,-0.0315593,-0.0342198
625,0,-0.00886838,-0.0315593,-0.0342198
630,0,-0.0094678,-0.0315593,-0.0343997
635,0,-0.0094678,-0.0315593,-0.0343997
640,0,-0.0094678,-0.0315593,-0.0343997
645,0,-0.0094678,-0.0315593,-0.0343997
650,0,-0.0094678,-0.0315593,-0.0343997
655,0,-0.0094678,-0.0315593,-0.0343997
660,0,-0.0094678,-0.0315593,-0.0343997
665,0,-0.0094678,-0.0315593,-0.0343997
670,0,-0.0094678,-0.0315593,-0.0343997
675,0,-0.0094678,-0.0315593,-0.0343997
680,0,-0.0094678,-0.0315593,-0.0343997
685,0,-0.0094678,-0.0315593,-0.0343997
690,0,-0.0094678,-0.0315593,-0.0343997
695,0,-0.0094678,-0.0315593,-0.0343997
700,0,-0.0094678,-0.0315593,-0.0343997
705,0,-0.0094678,-0.0315593,-0.0343997
710,0,-0.0094678,-0.0315593,-0.0343997
715,0,-0.0094678,-0.0315593,-0.0343997
720,0,-0.0094678,-0.0315593,-0.0343997
725,0,-0.0094678,-0.0315593,-0.0343997
730,0,-0.0094678,-0.0315593,-0.0343997
735,0,-0.0094678,-0.0315593,-0.0343997
740,0,-0.0094678,-0.0315593,-0.0343997
745,0,-0.0094678,-0.0315593,-0.0343997
750,0,-0.0094678,-0.0315593,-0.0343997
755,0,-0.0094678,-0.0315593,-0.0343997
760,0,-0.0094678,-0.0315593,-0.0343997
765,0,-0.0094678,-0.0315593,-0.0343997
770,0,-0.0094678,-0.0315593,-0.0343997
775,0,-0.0094678,-0.0315593,-0.0343997
780,0,-0.0094678,-0.0315593,-0.0343997
785,0,-0.0094678,-0.0315593,-0.0343997
790,0,-0.0094678,-0.0315593,-0.0343997
795,0,-0.0094678,-0.0315593,-0.0343997
800,0,-0.0094678,-0.0315593,-0.0343997
805,0,-0.0094678,-0.0315593,-0.0343997
810,0,-0.0094678,-0.0315593,-0.0343997
815,0,-0.0094678,-0.0315593,-0.0343997
820,0,-0.0094678,-0.0315593,-0.0343997
825,0,-0.0094678,-0.0315593,-0.0343997
830,0,-0.0094678,-0.0315593,-0.0343997
835,0,-0.0094678,-0.0315593,-0.0343997
840,0,-0.0094678,-0.0315593,-0.0343997
845,0,-0.0094678,-0.0315593,-0.0343997
850,0,-0.0094678,-0.0315593,-0.0343997
855,0,-0.0094678,-0.0315593,-0.0343997
