timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster
170,0.994862,0.996,0.402198,0.00759998,0.33406,0.730767,0.254629,0,0,0,0,0,0,0,0,0,0
175,0.994882,0.996,0.403167,0.00761953,0.334626,0.732647,0.254084,0,0,0,0,0,0,0,0,0,0
180,0.994854,0.996,0.404196,0.00763908,0.33628,0.734527,0.252362,0,0,0,0,0,0,0,0,0,0
185,0.994855,0.996,0.405231,0.00765863,0.338074,0.736407,0.250546,0,0,0,0,0,0,0,0,0,0
190,0.994854,0.996,0.406257,0.00767818,0.339713,0.738287,0.248885,0,0,0,0,0,0,0,0,0,0
195,0.994855,0.996,0.407274,0.00769774,0.34117,0.740167,0.247409,0,0,0,0,0,0,0,0,0,0
200,0.994855,0.996,0.408282,0.00771729,0.342468,0.742047,0.246095,0,0,0,0,0,0,0,0,0,0
205,0.994856,0.996,0.409284,0.00773684,0.343639,0.743927,0.244911,0,0,0,0,0,0,0,0,0,0
210,0.994863,0.996,0.41028,0.00775639,0.344722,0.745807,0.243825,0,0,0,0,0,0,0,0,0,0
215,0.99486,0.996,0.411273,0.00777594,0.345713,0.747687,0.242815,0,0,0,0,0,0,0,0,0,0
220,0.994855,0.996,0.412262,0.0077955,0.346646,0.749567,0.241859,0,0,0,0,0,0,0,0,0,0
225,0.994855,0.996,0.41325,0.00781505,0.347547,0.751447,0.240945,0,0,0,0,0,0,0,0,0,0
230,0.994855,0.996,0.414236,0.0078346,0.348418,0.753327,0.24006,0,0,0,0,0,0,0,0,0,0
235,0.994854,0.996,0.415221,0.00785415,0.349267,0.755207,0.239197,0,0,0,0,0,0,0,0,0,0
240,0.994855,0.996,0.416205,0.0078737,0.350103,0.757087,0.238348,0,0,0,0,0,0,0,0,0,0
245,0.994986,0.996,0.417188,0.00789326,0.351192,0.758967,0.23751,0,0,0,0,0,0,0,0,0,0
250,0.993589,0.996,0.418172,0.00791281,0.349336,0.760847,0.236679,0,0,0,0,0,0,0,0,0,0
255,0.994858,0.996,0.419155,0.00793236,0.352564,0.762727,0.235852,0,0,0,0,0,0,0,0,0,0
260,0.994855,0.996,0.420138,0.00795191,0.353369,0.764607,0.235026,0,0,0,0,0,0,0,0,0,0
265,0.994855,0.996,0.42112,0.00797146,0.35418,0.766487,0.234201,0,0,0,0,0,0,0,0,0,0
270,0.994855,0.996,0.422103,0.00799102,0.354991,0.768367,0.233376,0,0,0,0,0,0,0,0,0,0
275,0.994855,0.996,0.423086,0.00801057,0.355804,0.770247,0.232549,0,0,0,0,0,0,0,0,0,0
280,0.994856,0.996,0.424069,0.00803012,0.356619,0.772127,0.23172,0,0,0,0,0,0,0,0,0,0
285,0.994858,0.996,0.425053,0.00804967,0.35744,0.774007,0.230889,0,0,0,0,0,0,0,0,0,0
290,0.994862,0.996,0.426036,0.00806922,0.358266,0.775887,0.230055,0,0,0,0,0,0,0,0,0,0
295,0.994857,0.996,0.42702,0.00808878,0.359078,0.777767,0.229219,0,0,0,0,0,0,0,0,0,0
300,0.994855,0.996,0.428003,0.00810833,0.359898,0.779647,0.228379,0,0,0,0,0,0,0,0,0,0
305,0.994855,0.996,0.428987,0.00812788,0.360724,0.781527,0.227537,0,0,0,0,0,0,0,0,0,0
310,0.994855,0.996,0.429971,0.00814743,0.361555,0.783407,0.226691,0,0,0,0,0,0,0,0,0,0
315,0.994866,0.996,0.430955,0.00816698,0.362408,0.785287,0.225843,0,0,0,0,0,0,0,0,0,0
320,0.994163,0.996,0.431939,0.00818654,0.361948,0.787167,0.224992,0,0,0,0,0,0,0,0,0,0
325,0.993466,0.996,0.432924,0.00820609,0.361557,0.789047,0.224138,0,0,0,0,0,0,0,0,0,0
330,0.993471,0.996,0.433908,0.00822564,0.362313,0.790927,0.223281,0,0,0,0,0,0,0,0,0,0
335,0.994855,0.996,0.434893,0.00824519,0.365746,0.792807,0.222421,0,0,0,0,0,0,0,0,0,0
340,0.994855,0.996,0.435878,0.00826474,0.366591,0.794687,0.221559,0,0,0,0,0,0,0,0,0,0
345,0.994855,0.996,0.436863,0.0082843,0.36744,0.796567,0.220694,0,0,0,0,0,0,0,0,0,0
350,0.994856,0.996,0.437848,0.00830385,0.368292,0.798447,0.219827,0,0,0,0,0,0,0,0,0,0
355,0.994855,0.996,0.438833,0.0083234,0.369143,0.800327,0.218958,0,0,0,0,0,0,0,0,0,0
360,0.994169,0.996,0.439818,0.00834295,0.368766,0.802207,0.218087,0,0,0,0,0,0,0,0,0,0
365,0.994859,0.996,0.440804,0.0083625,0.370862,0.804087,0.217213,0,0,0,0,0,0,0,0,0,0
370,0.994854,0.996,0.441789,0.00838206,0.371713,0.805967,0.216337,0,0,0,0,0,0,0,0,0,0
375,0.994854,0.996,0.442775,0.00840161,0.372574,0.807847,0.21546,0,0,0,0,0,0,0,0,0,0
380,0.994855,0.996,0.443761,0.00842116,0.373437,0.809727,0.21458,0,0,0,0,0,0,0,0,0,0
385,0.994855,0.996,0.444747,0.00844071,0.374301,0.811607,0.213699,0,0,0,0,0,0,0,0,0,0
390,0.994855,0.996,0.445732,0.00846026,0.375168,0.813487,0.212816,0,0,0,0,0,0,0,0,0,0
395,0.993014,0.996,0.446718,0.00847982,0.372575,0.815367,0.211931,0,0,0,0,0,0,0,0,0,0
400,0.995096,0.996,0.447705,0.00849937,0.377358,0.817247,0.211045,0,0,0,0,0,0,0,0,0,0
405,0.994857,0.996,0.448691,0.00851892,0.377779,0.819127,0.210157,0,0,0,0,0,0,0,0,0,0
410,0.994854,0.996,0.449677,0.00853847,0.378646,0.821007,0.209268,0,0,0,0,0,0,0,0,0,0
415,0.994855,0.996,0.450663,0.00855802,0.37952,0.822887,0.208378,0,0,0,0,0,0,0,0,0,0
420,0.994854,0.996,0.45165,0.00857758,0.380394,0.824767,0.207486,0,0,0,0,0,0,0,0,0,0
425,0.994854,0.996,0.452636,0.00859713,0.38127,0.826647,0.206593,0,0,0,0,0,0,0,0,0,0
430,0.994854,0.996,0.453623,0.00861668,0.382147,0.828527,0.205698,0,0,0,0,0,0,0,0,0,0
435,0.994859,0.996,0.454609,0.00863623,0.383034,0.830407,0.204803,0,0,0,0,0,0,0,0,0,0
440,0.994861,0.996,0.455596,0.00865578,0.383917,0.832287,0.203906,0,0,0,0,0,0,0,0,0,0
445,0.994857,0.996,0.456582,0.00867534,0.38479,0.834167,0.203008,0,0,0,0,0,0,0,0,0,0
450,0.994855,0.996,0.457569,0.00869489,0.385667,0.836047,0.202109,0,0,0,0,0,0,0,0,0,0
455,0.994855,0.996,0.458556,0.00871444,0.386549,0.837927,0.20121,0,0,0,0,0,0,0,0,0,0
460,0.994855,0.996,0.459543,0.00873399,0.387432,0.839807,0.200309,0,0,0,0,0,0,0,0,0,0
465,0.994876,0.996,0.46053,0.00875354,0.388357,0.841687,0.199407,0,0,0,0,0,0,0,0,0,0
470,0.994857,0.996,0.461517,0.0087731,0.389206,0.843567,0.198505,0,0,0,0,0,0,0,0,0,0
475,0.994855,0.996,0.462504,0.00879265,0.390087,0.845447,0.197602,0,0,0,0,0,0,0,0,0,0
480,0.994855,0.996,0.463491,0.0088122,0.390974,0.847327,0.196698,0,0,0,0,0,0,0,0,0,0
485,0.994854,0.996,0.464478,0.00883175,0.391859,0.849207,0.195793,0,0,0,0,0,0,0,0,0,0
490,0.994855,0.996,0.465465,0.0088513,0.392748,0.851087,0.194887,0,0,0,0,0,0,0,0,0,0
495,0.994854,0.996,0.466452,0.00887086,0.393636,0.852967,0.193981,0,0,0,0,0,0,0,0,0,0
500,0.994865,0.996,0.467439,0.00889041,0.394546,0.854847,0.193074,0,0,0,0,0,0,0,0,0,0
505,0.994858,0.996,0.468426,0.00890996,0.395423,0.856727,0.192166,0,0,0,0,0,0,0,0,0,0
510,0.994854,0.996,0.469413,0.00892951,0.396306,0.858607,0.191258,0,0,0,0,0,0,0,0,0,0
515,0.994855,0.996,0.470401,0.00894906,0.397198,0.860487,0.190349,0,0,0,0,0,0,0,0,0,0
520,0.994854,0.996,0.471388,0.00896862,0.398089,0.862367,0.18944,0,0,0,0,0,0,0,0,0,0
525,0.994855,0.996,0.472375,0.00898817,0.398982,0.864247,0.18853,0,0,0,0,0,0,0,0,0,0
530,0.994855,0.996,0.473363,0.00900772,0.399874,0.866127,0.187619,0,0,0,0,0,0,0,0,0,0
535,0.994869,0.996,0.47435,0.00902727,0.400797,0.868007,0.186708,0,0,0,0,0,0,0,0,0,0
540,0.995151,0.996,0.475337,0.00904682,0.402257,0.869887,0.185797,0,0,0,0,0,0,0,0,0,0
545,0.994859,0.996,0.476325,0.00906638,0.402564,0.871767,0.184885,0,0,0,0,0,0,0,0,0,0
550,0.994855,0.996,0.477312,0.00908593,0.40345,0.873647,0.183972,0,0,0,0,0,0,0,0,0,0
555,0.994854,0.996,0.4783,0.00910548,0.404344,0.875527,0.18306,0,0,0,0,0,0,0,0,0,0
560,0.994855,0.996,0.479287,0.00912503,0.40524,0.877407,0.182146,0,0,0,0,0,0,0,0,0,0
565,0.994855,0.996,0.480275,0.00914458,0.406136,0.879287,0.181233,0,0,0,0,0,0,0,0,0,0
570,0.994856,0.996,0.481262,0.00916414,0.407034,0.881167,0.180319,0,0,0,0,0,0,0,0,0,0
575,0.994857,0.996,0.48225,0.00918369,0.407934,0.883047,0.179404,0,0,0,0,0,0,0,0,0,0
580,0.994166,0.996,0.483237,0.00920324,0.407448,0.884927,0.17849,0,0,0,0,0,0,0,0,0,0
585,0.994858,0.996,0.484225,0.00922279,0.409728,0.886807,0.177575,0,0,0,0,0,0,0,0,0,0
590,0.994854,0.996,0.485213,0.00924234,0.410618,0.888687,0.176659,0,0,0,0,0,0,0,0,0,0
595,0.994854,0.996,0.4862,0.0092619,0.411516,0.890567,0.175743,0,0,0,0,0,0,0,0,0,0
600,0.994855,0.996,0.487188,0.00928145,0.412416,0.892447,0.174828,0,0,0,0,0,0,0,0,0,0
605,0.994169,0.996,0.488176,0.009301,0.411889,0.894327,0.173911,0,0,0,0,0,0,0,0,0,0
610,0.99491,0.996,0.489163,0.00932055,0.414325,0.896207,0.172995,0,0,0,0,0,0,0,0,0,0
615,0.994854,0.996,0.490151,0.0093401,0.41511,0.898087,0.172078,0,0,0,0,0,0,0,0,0,0
620,0.994856,0.996,0.491139,0.00935966,0.416012,0.899967,0.171161,0,0,0,0,0,0,0,0,0,0
625,0.994854,0.996,0.492126,0.00937921,0.416907,0.901847,0.170244,0,0,0,0,0,0,0,0,0,0
630,0.994855,0.996,0.493114,0.00939876,0.417809,0.903727,0.169326,0,0,0,0,0,0,0,0,0,0
635,0.994854,0.996,0.494102,0.00941831,0.418708,0.905607,0.168408,0,0,0,0,0,0,0,0,0,0
640,0.994169,0.996,0.495089,0.00943786,0.4182,0.907487,0.16749,0,0,0,0,0,0,0,0,0,0
645,0.994859,0.996,0.496077,0.00945742,0.420517,0.909367,0.166572,0,0,0,0,0,0,0,0,0,0
650,0.994855,0.996,0.497065,0.00947697,0.421409,0.911247,0.165654,0,0,0,0,0,0,0,0,0,0
655,0.994855,0.996,0.498053,0.00949652,0.42231,0.913127,0.164735,0,0,0,0,0,0,0,0,0,0
660,0.994856,0.996,0.49904,0.00951607,0.423212,0.915007,0.163816,0,0,0,0,0,0,0,0,0,0
665,0.994855,0.996,0.500028,0.00953562,0.424111,0.916887,0.162898,0,0,0,0,0,0,0,0,0,0
670,0.994855,0.996,0.501016,0.00955518,0.425012,0.918767,0.161979,0,0,0,0,0,0,0,0,0,0
675,0.994862,0.996,0.502004,0.00957473,0.425929,0.920647,0.161059,0,0,0,0,0,0,0,0,0,0
680,0.994862,0.996,0.502992,0.00959428,0.42683,0.922527,0.16014,0,0,0,0,0,0,0,0,0,0
685,0.994859,0.996,0.503979,0.00961383,0.427724,0.924407,0.15922,0,0,0,0,0,0,0,0,0,0
690,0.994854,0.996,0.504939,0.00963286,0.428564,0.926236,0.158355,0,0,0,0,0,0,0,0,0,0
695,0.994855,0.996,0.505887,0.00965166,0.429391,0.928044,0.157512,0,0,0,0,0,0,0,0,0,0
700,0.994854,0.996,0.506835,0.00967046,0.430216,0.929852,0.156669,0,0,0,0,0,0,0,0,0,0
705,0.994855,0.996,0.507783,0.00968927,0.431043,0.93166,0.155826,0,0,0,0,0,0,0,0,0,0
710,0.994858,0.996,0.50873,0.00970807,0.431876,0.933468,0.154982,0,0,0,0,0,0,0,0,0,0
