[HISTORICAL]
# timestamp,action,qiDelta,srDelta,reward
170,0,0,0,0
175,0,0,0,0
180,0,0,0,0
185,0,0,0,0
190,0,0,0,0
195,0,0,0,0
200,0,0,0,0
205,0,0,0,0
210,0,0,0,0
215,0,0,0,0
220,0,0,0,0
225,0,0,0,0
230,0,0,0,0
235,0,0,0,0
240,0,0,0,0
245,0,0,0,0
250,0,0,0,0
255,0,0,0,0
260,0,0,0,0
265,0,0,0,0
270,0,0,0,0
275,0,0,0,0
280,0,0,0,0
285,0,0,0,0
290,0,0,0,0
295,0,0,0,0
300,0,0,0,0
305,0,0,0,0
310,0,0,0,0
315,0,0,0,0
320,0,0,0,0
325,0,0,0,0
330,0,0,0,0
335,0,0,0,0
340,0,0,0,0
345,0,0,0,0
350,0,0,0,0
355,0,0,0,0
360,0,0,0,0
365,0,0,0,0
370,0,0,0,0
375,0,0,0,0
380,0,0,0,0
385,0,0,0,0
390,0,0,0,0
395,0,0,0,0
400,0,0,0,0
405,0,0,0,0
410,0,0,0,0
415,0,0,0,0
420,0,0,0,0
425,0,0,0,0
430,0,0,0,0
435,0,0,0,0
440,0,0,0,0
445,0,0,0,0
450,0,0,0,0
455,0,0,0,0
460,0,0.0770228,0.109,0.132107
465,0,-0.00238065,-0.00793548,-0.00864968
470,0,-0.00238065,-0.00793548,-0.00864968
475,0,0.125904,0.200571,0.238343
480,0,-0.00595102,-0.0198367,-0.021622
485,0,-0.00595102,-0.0198367,-0.021622
490,0,-0.00595102,-0.0198367,-0.021622
495,0,-0.00595102,-0.0198367,-0.021622
500,0,-0.00595102,-0.0198367,-0.021622
505,0,-0.00595102,-0.0198367,-0.021622
510,0,-0.00595102,-0.0198367,-0.021622
515,0,-0.00595102,-0.0198367,-0.021622
520,0,-0.00595102,-0.0198367,-0.021622
525,0,-0.00595102,-0.0198367,-0.021622
530,0,-0.00595102,-0.0198367,-0.021622
535,0,-0.00595102,-0.0198367,-0.021622
540,0,-0.00595102,-0.0198367,-0.021622
545,0,-0.00595102,-0.0198367,-0.021622
550,0,-0.00595102,-0.0198367,-0.021622
555,0,-0.00595102,-0.0198367,-0.021622
560,0,-0.00595102,-0.0198367,-0.021622
565,0,-0.00595102,-0.0198367,-0.021622
570,0,-0.00595102,-0.0198367,-0.021622
575,0,-0.00595102,-0.0198367,-0.021622
580,0,-0.00595102,-0.0198367,-0.021622
585,0,-0.00595102,-0.0198367,-0.021622
590,0,-0.00595102,-0.0198367,-0.021622
595,0,-0.00595102,-0.0198367,-0.021622
600,0,-0.00595102,-0.0198367,-0.021622
605,0,-0.00595102,-0.0198367,-0.021622
610,0,-0.00595102,-0.0198367,-0.021622
615,0,-0.00595102,-0.0198367,-0.021622
620,0,-0.00595102,-0.0198367,-0.021622
625,0,-0.00595102,-0.0198367,-0.021622
630,0,-0.00595102,-0.0198367,-0.021622
635,0,-0.00595102,-0.0198367,-0.021622
640,0,-0.00595102,-0.0198367,-0.021622
645,0,-0.00595102,-0.0198367,-0.021622
650,0,-0.00595102,-0.0198367,-0.021622
655,0,0.118929,0.235605,0.271284
660,0,-0.00833086,-0.0277695,-0.0302688
665,0,-0.00833086,-0.0277695,-0.0302688
670,0,-0.00833086,-0.0277695,-0.0302688
675,0,-0.00833086,-0.0277695,-0.0302688
680,0,-0.00833086,-0.0277695,-0.0302688
685,0,-0.00833086,-0.0277695,-0.0302688
690,0,-0.00833086,-0.0277695,-0.0302688
695,0,-0.00833086,-0.0277695,-0.0302688
700,0,-0.00833086,-0.0277695,-0.0302688
705,0,-0.00833086,-0.0277695,-0.0302688
710,0,-0.00833086,-0.0277695,-0.0302688
715,0,-0.00833086,-0.0277695,-0.0302688
720,0,-0.00833086,-0.0277695,-0.0302688
725,0,-0.00833086,-0.0277695,-0.0302688
730,0,-0.00833086,-0.0277695,-0.0302688
735,0,-0.00833086,-0.0277695,-0.0302688
740,0,-0.00833086,-0.0277695,-0.0302688
745,0,-0.00833086,-0.0277695,-0.0302688
750,0,-0.00833086,-0.0277695,-0.0302688
755,0,-0.00833086,-0.0277695,-0.0302688
760,0,-0.00833086,-0.0277695,-0.0302688
765,0,-0.00833086,-0.0277695,-0.0302688
770,0,-0.00833086,-0.0277695,-0.0302688
775,0,-0.00833086,-0.0277695,-0.0302688
780,0,-0.00833086,-0.0277695,-0.0302688
785,0,-0.00833086,-0.0277695,-0.0302688
790,0,-0.00833086,-0.0277695,-0.0302688
795,0,-0.00833086,-0.0277695,-0.0302688
800,0,-0.00833086,-0.0277695,-0.0302688
805,0,-0.00833086,-0.0277695,-0.0302688
810,0,-0.00833086,-0.0277695,-0.0302688
815,0,-0.00833086,-0.0277695,-0.0302688
820,0,-0.00833086,-0.0277695,-0.0302688
825,0,-0.00833086,-0.0277695,-0.0302688
830,0,-0.00833086,-0.0277695,-0.0302688
835,0,-0.00833086,-0.0277695,-0.0302688
840,0,-0.00833086,-0.0277695,-0.0302688
845,0,-0.00833086,-0.0277695,-0.0302688
850,0,-0.00833086,-0.0277695,-0.0302688
855,0,-0.00833086,-0.0277695,-0.0302688
860,0,-0.00833086,-0.0277695,-0.0302688
865,0,-0.00833086,-0.0277695,-0.0302688
870,0,-0.00833086,-0.0277695,-0.0302688
875,0,-0.00833086,-0.0277695,-0.0302688
880,0,-0.00833086,-0.0277695,-0.0302688
885,0,-0.00833086,-0.0277695,-0.0302688
890,0,-0.00833086,-0.0277695,-0.0302688
[INTUITIVE]
# stateBucket,action,reward_window...
EXISTING_VIABLE,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
