timestamp,qi,sr,tii,arf,meanRho,netLearning,pThreat,totalOrphans,actionsReallocate,actionsRecluster,actionsDoNothing,cycleS1,cycleS2,anomalies,qDoNothing,qReallocate,qRecluster,clustersHealthy,clustersDegraded,clustersCritical,actionsReinforce,actionsDisband,actionsClusterDoNothing,cycleS1Cluster,cycleS2Cluster,qClusterDoNothing,qReinforce,qDisband
305,0.996087,1,0.419688,0.00621986,0.455975,0.777482,0.226337,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,20,0,0,0,0,0,0,0,27.0425,30.7563,16.6119
310,0.877338,0.768,0.420474,0.00623164,0.340727,0.778954,0.225089,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,9,4,7,0,7,4,11,0,27.0425,30.7563,16.6119
315,0.617849,0.415638,0.205999,0.00416759,0.240435,0.779019,0.239519,84,0,84,0,84,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.0257,30.7563,16.6191
320,0.90933,0.761317,0.352464,0.00608258,0.38499,0.77793,0.249419,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.0245,30.7624,16.6191
325,0.909554,0.761317,0.353416,0.00609397,0.390855,0.779386,0.243705,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.0245,30.7682,16.6191
330,0.909442,0.761317,0.354318,0.00610536,0.394737,0.780843,0.239277,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,16,3,0,2,0,1,3,0,27.0255,30.7737,16.6191
335,0.909541,0.761317,0.355191,0.00611675,0.398442,0.7823,0.235567,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.027,30.7771,16.6191
340,0.907039,0.761317,0.356042,0.00612814,0.395971,0.783757,0.232431,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,27.0259,30.7649,16.6191
345,0.909945,0.761317,0.356887,0.00613953,0.404494,0.785214,0.229445,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,16,3,0,3,0,0,3,0,27.0259,30.7556,16.6191
350,0.907453,0.761317,0.357717,0.00615092,0.401403,0.78667,0.226845,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,14,5,0,3,0,2,5,0,27.0259,30.7447,16.6191
355,0.907496,0.761317,0.358539,0.00616231,0.403639,0.788127,0.224456,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,14,5,0,5,0,0,5,0,27.0191,30.7515,16.6191
360,0.90529,0.761317,0.359346,0.0061737,0.401035,0.789584,0.222441,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,27.0191,30.7285,16.6191
365,0.910506,0.761317,0.360155,0.00618509,0.414205,0.791041,0.220379,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.0191,30.7135,16.6191
370,0.907564,0.761317,0.360958,0.00619648,0.409223,0.792498,0.21847,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,27.0104,30.6968,16.6191
375,0.90866,0.761317,0.361751,0.00620787,0.41376,0.793954,0.216829,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27.0104,30.6841,16.6191
380,0.908876,0.761317,0.362543,0.00621926,0.415705,0.795411,0.2152,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,27,30.6945,16.6191
385,0.906694,0.761317,0.363331,0.00623065,0.412116,0.796868,0.213677,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,14,5,0,5,0,0,5,0,26.9903,30.6872,16.6191
390,0.907566,0.761317,0.364123,0.00624205,0.414678,0.798325,0.21204,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,16,3,0,3,0,0,3,0,26.9903,30.6704,16.6191
395,0.91016,0.761317,0.36491,0.00625344,0.422447,0.799781,0.21054,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,26.9903,30.6729,16.6191
400,0.907665,0.761317,0.365695,0.00626483,0.417948,0.801238,0.209088,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,26.9801,30.6586,16.6191
405,0.908758,0.761317,0.366473,0.00627622,0.422171,0.802695,0.207815,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,26.9801,30.6489,16.6191
410,0.907398,0.761317,0.367256,0.00628761,0.419753,0.804152,0.206426,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,4,0,26.9801,30.6399,16.6191
415,0.910273,0.761317,0.368038,0.006299,0.427732,0.805609,0.205069,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,16,3,0,3,0,0,3,0,26.9801,30.6403,16.6191
420,0.908439,0.761317,0.368817,0.00631039,0.424671,0.807065,0.203762,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,14,5,0,3,0,2,5,0,26.9801,30.6362,16.6191
425,0.904708,0.761317,0.369595,0.00632178,0.417094,0.808522,0.202498,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,14,5,0,5,0,0,5,0,26.9534,30.624,16.6191
430,0.908434,0.761317,0.370373,0.00633317,0.426956,0.809979,0.201238,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,4,0,26.9534,30.6132,16.6191
435,0.908489,0.761317,0.371151,0.00634456,0.428198,0.811436,0.199958,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9397,30.6278,16.6191
440,0.908047,0.761317,0.371924,0.00635595,0.428563,0.812893,0.198804,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9397,30.6205,16.6191
445,0.908273,0.761317,0.372702,0.00636734,0.429888,0.814349,0.197553,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9397,30.6137,16.6191
450,0.908492,0.761317,0.37348,0.00637873,0.431522,0.815806,0.196284,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9289,30.6283,16.6191
455,0.908046,0.761317,0.374253,0.00639012,0.431856,0.817263,0.195133,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9289,30.6209,16.6191
460,0.908273,0.761317,0.37503,0.00640151,0.433189,0.81872,0.193891,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9289,30.6141,16.6191
465,0.908896,0.761317,0.375808,0.0064129,0.435827,0.820177,0.192631,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9204,30.6286,16.6191
470,0.90805,0.761317,0.376581,0.00642429,0.435135,0.821633,0.191485,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9204,30.6213,16.6191
475,0.908274,0.761317,0.377358,0.00643568,0.436469,0.82309,0.19025,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9204,30.6145,16.6191
480,0.90849,0.761317,0.378135,0.00644707,0.43809,0.824547,0.188999,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9136,30.629,16.6191
485,0.908046,0.761317,0.378908,0.00645847,0.438379,0.826004,0.187857,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9136,30.6216,16.6191
490,0.908276,0.761317,0.379684,0.00646986,0.439734,0.827461,0.186628,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9136,30.6147,16.6191
495,0.90849,0.761317,0.380461,0.00648125,0.441351,0.828917,0.185384,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9082,30.6292,16.6191
500,0.908052,0.761317,0.381234,0.00649264,0.441631,0.830374,0.184245,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9082,30.6218,16.6191
505,0.907689,0.761317,0.382011,0.00650403,0.441483,0.831831,0.183021,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9082,30.6149,16.6191
510,0.908489,0.761317,0.382787,0.00651542,0.444594,0.833288,0.181784,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9039,30.6294,16.6191
515,0.908043,0.761317,0.38356,0.00652681,0.444835,0.834744,0.180646,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9039,30.622,16.6191
520,0.908275,0.761317,0.384336,0.0065382,0.446212,0.836201,0.179427,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9039,30.6151,16.6191
525,0.908489,0.761317,0.385113,0.00654959,0.447828,0.837658,0.178195,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9005,30.6296,16.6191
530,0.908048,0.761317,0.385886,0.00656098,0.448061,0.839115,0.177059,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.9005,30.6221,16.6191
535,0.908286,0.761317,0.386662,0.00657237,0.449465,0.840572,0.175844,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.9005,30.6152,16.6191
540,0.908859,0.761317,0.387438,0.00658376,0.451987,0.842028,0.174616,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8978,30.6297,16.6191
545,0.908334,0.761317,0.388211,0.00659515,0.451999,0.843485,0.17348,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8978,30.6222,16.6191
550,0.908274,0.761317,0.388987,0.00660654,0.452653,0.844942,0.172269,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.8978,30.6154,16.6191
555,0.908488,0.761317,0.389763,0.00661793,0.45427,0.846399,0.171046,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8957,30.6298,16.6191
560,0.908044,0.761317,0.390536,0.00662932,0.454457,0.847856,0.16991,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8957,30.6223,16.6191
565,0.908273,0.761317,0.391311,0.00664071,0.45586,0.849312,0.168701,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.8957,30.6154,16.6191
570,0.908492,0.761317,0.392087,0.0066521,0.45749,0.850769,0.167482,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.894,30.6299,16.6191
575,0.908047,0.761317,0.39286,0.0066635,0.457657,0.852226,0.166346,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.894,30.6224,16.6191
580,0.907615,0.761317,0.393636,0.00667489,0.457408,0.853683,0.16514,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.894,30.6155,16.6191
585,0.908641,0.761317,0.394412,0.00668628,0.461082,0.85514,0.163924,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8927,30.6299,16.6191
590,0.908046,0.761317,0.395184,0.00669767,0.460845,0.856596,0.162787,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8927,30.6225,16.6191
595,0.908275,0.761317,0.39596,0.00670906,0.462267,0.858053,0.161583,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,3,0,1,0,4,26.8927,30.6156,16.6191
600,0.908489,0.761317,0.396736,0.00672045,0.463891,0.85951,0.16037,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8916,30.63,16.6191
605,0.907783,0.761317,0.397509,0.00673184,0.463423,0.860967,0.159234,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,15,4,0,4,0,0,0,4,26.8916,30.6225,16.6191
610,0.791422,0.588477,0.398101,0.00674046,0.297103,0.86207,0.158189,0,0,0,0,0,0,0,24.4273,33.1636,62.5892,8,1,10,0,10,1,0,11,26.8916,30.6156,16.6191
615,0.425181,0.0686695,0.0466036,0.00332573,0.0873945,0.860995,0.210076,117,0,117,0,117,0,0,24.4273,33.1636,62.5892,14,1,0,0,0,1,1,0,26.8907,30.6156,16.6278
620,0.859489,0.570815,0.277409,0.0055174,0.34543,0.857037,0.220287,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8901,30.6156,16.6278
625,0.859782,0.570815,0.277687,0.00552431,0.338217,0.85811,0.228329,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8895,30.6156,16.6278
630,0.859506,0.570815,0.27873,0.00553122,0.352828,0.859183,0.212567,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8891,30.6156,16.6278
635,0.859507,0.570815,0.279118,0.00553813,0.34839,0.860256,0.217182,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8888,30.6156,16.6278
640,0.859504,0.570815,0.28002,0.00554503,0.35924,0.861329,0.205842,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8885,30.6156,16.6278
645,0.859511,0.570815,0.280479,0.00555194,0.35693,0.862402,0.208248,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8883,30.6156,16.6278
650,0.859512,0.570815,0.281282,0.00555885,0.364855,0.863475,0.199965,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8881,30.6156,16.6278
655,0.859504,0.570815,0.281786,0.00556576,0.36387,0.864548,0.20096,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,1,0,26.8879,30.6156,16.6278
660,0.858314,0.570815,0.282521,0.00557266,0.36767,0.86562,0.194799,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8878,30.6156,16.6278
665,0.859792,0.570815,0.283054,0.00557957,0.370196,0.866693,0.194905,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8877,30.6156,16.6278
670,0.859505,0.570815,0.283741,0.00558648,0.374114,0.867766,0.190223,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8877,30.6156,16.6278
675,0.860033,0.570815,0.284292,0.00559339,0.375633,0.868839,0.189777,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8876,30.6156,16.6278
680,0.858312,0.570815,0.284946,0.00560029,0.375627,0.869912,0.186132,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8876,30.6156,16.6278
685,0.860295,0.570815,0.285508,0.0056072,0.380167,0.870985,0.185352,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8875,30.6156,16.6278
690,0.859505,0.570815,0.286138,0.00561411,0.381513,0.872058,0.182438,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8875,30.6156,16.6278
695,0.859513,0.570815,0.286706,0.00562102,0.382446,0.873131,0.181464,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8875,30.6156,16.6278
700,0.858318,0.570815,0.287319,0.00562792,0.382402,0.874204,0.179068,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8875,30.6156,16.6278
705,0.857125,0.570815,0.287891,0.00563483,0.381084,0.875277,0.177988,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
710,0.858319,0.570815,0.288492,0.00564174,0.385231,0.87635,0.175961,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
715,0.859503,0.570815,0.289065,0.00564865,0.38872,0.877423,0.174829,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
720,0.859513,0.570815,0.289658,0.00565555,0.390412,0.878496,0.173069,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
725,0.859764,0.570815,0.290232,0.00566246,0.392064,0.879569,0.171917,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
730,0.859506,0.570815,0.290819,0.00566937,0.39297,0.880642,0.17035,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
735,0.85951,0.570815,0.291392,0.00567628,0.394066,0.881715,0.169199,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
740,0.85951,0.570815,0.291975,0.00568318,0.395416,0.882788,0.167774,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
745,0.858461,0.570815,0.292548,0.00569009,0.394073,0.883861,0.166633,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
750,0.859505,0.570815,0.293127,0.005697,0.397734,0.884934,0.165312,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
755,0.859509,0.570815,0.2937,0.00570391,0.398804,0.886007,0.164188,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
760,0.859509,0.570815,0.294276,0.00571081,0.39998,0.88708,0.162946,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
765,0.857784,0.570815,0.294848,0.00571772,0.397072,0.888153,0.161838,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
770,0.859508,0.570815,0.295423,0.00572463,0.402138,0.889226,0.160656,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
775,0.859502,0.570815,0.295959,0.00573113,0.403051,0.890236,0.159689,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
780,0.859503,0.570815,0.296493,0.0057376,0.404016,0.89124,0.158685,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
785,0.859506,0.570815,0.297026,0.00574406,0.404924,0.892244,0.157746,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
790,0.859507,0.570815,0.297559,0.00575053,0.405852,0.893249,0.156777,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
795,0.858319,0.570815,0.298091,0.00575699,0.404163,0.894253,0.155854,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
800,0.859744,0.570815,0.298623,0.00576346,0.408172,0.895257,0.154913,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
805,0.85954,0.570815,0.299155,0.00576992,0.408579,0.896262,0.154004,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
810,0.859509,0.570815,0.299687,0.00577639,0.409397,0.897266,0.153085,0,0,0,0,0,0,0,24.4273,33.1636,62.981,14,1,0,0,0,1,0,1,26.8874,30.6156,16.6278
